"...1","year","Autres impôts, taxes et versements assimilés","Ventes de marchandises","Production vendue biens","Production vendue services","Chiffres d’affaires nets","Production stockée","Production immobilisée","Subventions d’exploitation","Reprises sur amortissements et provisions, transfert de charges","Autres produits","Total des produits d’exploitation","Achats de marchandises (y compris droits de douane)","Variation de stock (marchandises)","Achats de matières premières et autres approvisionnements","Variation de stock (matières premières et approvisionnements)","Autres achats et charges externes","Impôts, taxes et versements assimilés","Salaires et traitements","Charges sociales","Autres charges","Total des charges d’exploitation","Résultat d'exploitation","Bénéfice attribué ou perte transférée","Perte supportée ou bénéfice transféré","Produits financiers de participations","Produits des autres valeurs mobilières et créances de l’actif immobilisé","Autres intérêts et produits assimilés","Reprises sur provisions et transferts de charges financier","Différences positives de change","Produits nets sur cessions de valeurs mobilières de placement","Total des produits financiers","Dotations financières sur amortissements et provisions","Intérêts et charges assimilées","Différences négatives de change","Charges nettes sur cessions de valeurs mobilières de placement","Total des charges financières","Résultat financier","Résultat en cours avant impôts","Produits exceptionnels sur opérations de gestion","Produits exceptionnels sur opérations en capital","Reprises sur provisions et transferts de charges exceptionnel","Total des produits exceptionnels","Charges exceptionnelles sur opérations de gestion","Charges exceptionnelles sur opérations en capital","Dotations exceptionnelles aux amortissements et provisions","Total des charges exceptionnelles","Résultat exceptionnel","Participation des salariés aux résultats de l’entreprise","Impôts sur les bénéfices","Total des produits","Total des charges","Bénéfices ou perte (Total des produits ‐ Total des charges)","Impôts différés (compte de résultat)","Résultat net des sociétés mises en équivalence","Résultat net des entreprises intégrées","Résultat Groupe (Résultat net consolidé)","Part des intérêts minoritaires (Résultat hors groupe)","Résultat net part du groupe (part de la société mère)","Rémunération d’intermédiaires et honoraires (hors rétrocessions)","Location, charges locatives et de copropriété","Effectif moyen du personnel","Sous‐traitance","Personnel extérieur à l’entreprise","Rétrocessions d’honoraires, commissions et courtages","Taxe professionnelle","Montant de la TVA. collectée","Total TVA. déductible sur biens et services","Dividendes","siren","denomination","enthic","postal_code","town","ape","ape_name","ape_len","ape_division","ape_groupe","ape_classe","ape_sous_classe","ess_N° IDENTITE ENTREPRISE (SIREN)","ess_RAISON SOCIALE","ess_ENSEIGNE","ess_SIGLE","ess_CP VILLE","ess_FORME JURIDIQUE","is_ess"
10,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11684,607,NA,3248,NA,16148,-16148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,NA,NA,167,-167,-16315,11400,NA,NA,11400,1500,NA,NA,1500,9900,NA,NA,11400,17815,-6415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381350685,"NRE CONSULTING",1572,"75004","PARIS","7021Z","Conseil en relations publiques et communication",5,70,702,7021,"7021Z",NA,NA,NA,NA,NA,NA,FALSE
11,2011,NA,NA,NA,270649,270649,NA,NA,NA,NA,NA,270649,NA,NA,NA,NA,181747,329,38000,23892,5,254823,15825,NA,NA,NA,NA,64,NA,NA,725,789,NA,NA,NA,NA,3571,-2783,13043,26796,NA,NA,NA,NA,NA,NA,NA,26796,NA,3440,298234,261835,36399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392031902,"CAMUS PARTICIPATIONS",234,"73000","JACOB BELLECOMBETTE","4690Z","Commerce de gros (commerce interentreprises) non spécialisé",5,46,469,4690,"4690Z",NA,NA,NA,NA,NA,NA,FALSE
12,2011,NA,79590,NA,2481,82071,NA,NA,NA,5223,40,87334,55282,-7158,74,NA,26758,1303,NA,2202,31,83865,3469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,694,NA,NA,694,-694,2775,50,NA,NA,50,317,NA,NA,317,NA,NA,379,87383,85255,2129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420210577,"SOCCO FRERES",495,"13124","PEYPIN","4662Z","Commerce de gros (commerce interentreprises) de machines-outils",5,46,466,4662,"4662Z",NA,NA,NA,NA,NA,NA,FALSE
13,2011,NA,NA,1307051,34300,1341351,NA,NA,NA,1046,152,1342549,NA,NA,392224,4926,169465,12661,476014,174625,NA,NA,88210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3077,-3077,85133,NA,NA,NA,NA,2158,NA,NA,2158,-2158,NA,21612,1342549,1281187,61363,NA,NA,NA,NA,NA,NA,11895,56962,NA,NA,NA,NA,NA,127279,66892,NA,421635939,"FISH",992,"75006","PARIS","5610A","Restauration traditionnelle",5,56,561,5610,"5610A",NA,NA,NA,NA,NA,NA,FALSE
14,2011,NA,NA,NA,400,400,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,2393,889,NA,NA,NA,4623,-4223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,4623,-4223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428208193,"FP TRANSACTIONS",1499,"21240","TALANT","6810Z","Activités des marchands de biens immobiliers",5,68,681,6810,"6810Z",NA,NA,NA,NA,NA,NA,FALSE
15,2011,NA,NA,NA,50076,50076,NA,NA,NA,NA,13,50089,NA,NA,NA,NA,6335,684,26000,10755,3,48827,1263,NA,NA,NA,NA,8,NA,NA,NA,8,NA,NA,NA,NA,542,-534,729,NA,NA,NA,NA,22,NA,NA,311,-311,NA,66,50097,49745,352,NA,NA,NA,NA,NA,NA,-1333,NA,1,NA,NA,NA,NA,9952,942,NA,431747450,"TRANS-ACHEMINEMENT-EXPRESS SARL",64,"78160","MARLY LE ROI","4941B","Transports routiers de fret de proximité",5,49,494,4941,"4941B",NA,NA,NA,NA,NA,NA,FALSE
16,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1549,NA,NA,NA,NA,2468,-2468,NA,NA,NA,NA,1354,NA,NA,2288,3642,NA,9475,NA,NA,9475,-5833,-8302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3642,11943,-8302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500031919,"MEDC",1515,"33500","LIBOURNE","6420Z","Activités des sociétés holding",5,64,642,6420,"6420Z",NA,NA,NA,NA,NA,NA,FALSE
17,2011,NA,NA,27946223,46357,27992581,NA,NA,4109,98644,465,28095800,NA,NA,22300071,-174205,2764350,257975,1500606,593656,44175,27622282,NA,NA,NA,NA,NA,-3,NA,NA,NA,-3,NA,NA,NA,NA,18329,-18332,455186,559,42,NA,NA,NA,19612,NA,19612,-19012,61900,148954,28096397,27871077,225320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503436040,"PROCARED",362,"74940","ANNECY","7010Z","Activités des sièges sociaux",5,70,701,7010,"7010Z",NA,NA,NA,NA,NA,NA,FALSE
18,2011,NA,594538,NA,NA,594538,NA,NA,NA,4452,4,598994,420922,NA,NA,NA,95675,3742,33200,14577,255,560416,38578,NA,NA,NA,NA,9100,3005,NA,113,12219,3644,150,NA,22741,26535,-14316,24262,NA,2195,3150,5345,NA,NA,10971,NA,-5626,NA,2689,616560,600612,15947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509289203,"DECOSTOCK",292,"13005","MARSEILLE","4791A","Vente à distance sur catalogue général",5,47,479,4791,"4791A",NA,NA,NA,NA,NA,NA,FALSE
19,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,8052,444,NA,16304,749,25548,-25548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25548,NA,NA,NA,NA,597,NA,NA,597,-597,NA,NA,1,26145,-26145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512195744,"ACH CONSEIL",314,"78400","CHATOU","7022Z","Conseil pour les affaires et autres conseils de gestion",5,70,702,7022,"7022Z",NA,NA,NA,NA,NA,NA,FALSE
