"...1","year","Autres impôts, taxes et versements assimilés","Ventes de marchandises","Production vendue biens","Production vendue services","Chiffres d’affaires nets","Production stockée","Production immobilisée","Subventions d’exploitation","Reprises sur amortissements et provisions, transfert de charges","Autres produits","Total des produits d’exploitation","Achats de marchandises (y compris droits de douane)","Variation de stock (marchandises)","Achats de matières premières et autres approvisionnements","Variation de stock (matières premières et approvisionnements)","Autres achats et charges externes","Impôts, taxes et versements assimilés","Salaires et traitements","Charges sociales","Autres charges","Total des charges d’exploitation","Résultat d'exploitation","Bénéfice attribué ou perte transférée","Perte supportée ou bénéfice transféré","Produits financiers de participations","Produits des autres valeurs mobilières et créances de l’actif immobilisé","Autres intérêts et produits assimilés","Reprises sur provisions et transferts de charges financier","Différences positives de change","Produits nets sur cessions de valeurs mobilières de placement","Total des produits financiers","Dotations financières sur amortissements et provisions","Intérêts et charges assimilées","Différences négatives de change","Charges nettes sur cessions de valeurs mobilières de placement","Total des charges financières","Résultat financier","Résultat en cours avant impôts","Produits exceptionnels sur opérations de gestion","Produits exceptionnels sur opérations en capital","Reprises sur provisions et transferts de charges exceptionnel","Total des produits exceptionnels","Charges exceptionnelles sur opérations de gestion","Charges exceptionnelles sur opérations en capital","Dotations exceptionnelles aux amortissements et provisions","Total des charges exceptionnelles","Résultat exceptionnel","Participation des salariés aux résultats de l’entreprise","Impôts sur les bénéfices","Total des produits","Total des charges","Bénéfices ou perte (Total des produits ‐ Total des charges)","Impôts différés (compte de résultat)","Résultat net des sociétés mises en équivalence","Résultat net des entreprises intégrées","Résultat Groupe (Résultat net consolidé)","Part des intérêts minoritaires (Résultat hors groupe)","Résultat net part du groupe (part de la société mère)","Rémunération d’intermédiaires et honoraires (hors rétrocessions)","Location, charges locatives et de copropriété","Effectif moyen du personnel","Sous‐traitance","Personnel extérieur à l’entreprise","Rétrocessions d’honoraires, commissions et courtages","Taxe professionnelle","Montant de la TVA. collectée","Total TVA. déductible sur biens et services","Dividendes","siren","denomination","enthic","postal_code","town","ape","ape_name","ape_len","ape_division","ape_groupe","ape_classe","ape_sous_classe","ess_N° IDENTITE ENTREPRISE (SIREN)","ess_RAISON SOCIALE","ess_ENSEIGNE","ess_SIGLE","ess_CP VILLE","ess_FORME JURIDIQUE","is_ess"
61,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,28691,28691,3096,-2999,NA,NA,16879,2235,NA,NA,NA,34722,-6031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2613,NA,NA,2613,-2613,-8644,NA,NA,NA,NA,90,NA,NA,90,-90,NA,NA,28691,37425,-8734,NA,NA,NA,NA,NA,NA,301,3713,NA,NA,NA,NA,NA,1182,2639,NA,318908621,"ETABLISSEMENTS G. ABRAHAM",912,"06220","VALLAURIS","4754Z","Commerce de détail appareils électroménagers (magasin spécialisé)",5,47,475,4754,"4754Z",NA,NA,NA,NA,NA,NA,FALSE
62,2012,NA,NA,1514083,NA,1514083,NA,NA,NA,NA,78227,1592310,NA,NA,402851,-724,159716,15439,587087,226430,2452,1450434,NA,NA,NA,NA,NA,2962,4737,NA,NA,7699,NA,11388,NA,NA,11388,-3689,138187,2202,NA,NA,NA,NA,NA,NA,NA,2202,NA,41853,1602211,1503675,98536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319427126,"KIM'S",992,"75006","PARIS","5610A","Restauration traditionnelle",5,56,561,5610,"5610A",NA,NA,NA,NA,NA,NA,FALSE
63,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2720,NA,NA,NA,NA,2720,-2720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2720,-2720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319528444,"MAG DIFFUSION",1499,"75008","PARIS","6810Z","Activités des marchands de biens immobiliers",5,68,681,6810,"6810Z",NA,NA,NA,NA,NA,NA,FALSE
64,2012,NA,NA,NA,109002,109002,NA,NA,NA,1715,NA,110717,NA,NA,NA,NA,102180,1259,NA,NA,NA,104844,5874,313,NA,NA,NA,NA,NA,NA,9486,NA,NA,2,NA,NA,2,9484,15671,232,NA,NA,232,80,NA,NA,80,152,NA,2373,120749,107299,13450,NA,NA,NA,NA,NA,NA,2503,11170,NA,61317,NA,NA,1259,NA,NA,NA,319567426,"INSTITUT D EXPERTISE COMPTABLE D ETUDES ECONOMIQUES ET FINAN",742,"91390","MORSANG SUR ORGE","6920Z","Activités comptables",5,69,692,6920,"6920Z",NA,NA,NA,NA,NA,NA,FALSE
65,2012,NA,NA,NA,147755,147755,NA,NA,NA,8068,NA,155823,NA,NA,NA,68,54236,1419,59203,24653,NA,139928,15895,NA,NA,13239,NA,86,NA,NA,NA,NA,NA,2,NA,NA,2,13323,29218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4383,169148,144313,24835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319673281,"AGESTRA",1431,"06600","ANTIBES","6311Z","Traitement de données, hébergement et activités connexes",5,63,631,6311,"6311Z",NA,NA,NA,NA,NA,NA,FALSE
66,2012,NA,515001,NA,NA,515001,NA,NA,NA,NA,3,515004,241268,-15955,NA,NA,181003,2913,63726,23857,195,507986,7017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5309,NA,NA,5309,-5309,1708,NA,NA,NA,NA,1117,NA,NA,NA,-1117,NA,276,515004,514688,315,NA,NA,NA,NA,NA,NA,11404,99511,2,NA,NA,NA,2506,100940,28235,NA,319773172,"BOB GERARD",212,"75006","PARIS","4771Z","Commerce de détail d'habillement en magasin spécialisé",5,47,477,4771,"4771Z",NA,NA,NA,NA,NA,NA,FALSE
67,2012,NA,NA,NA,4576179,4576179,NA,NA,NA,NA,1,4576180,NA,NA,NA,NA,704817,359254,NA,NA,3,1661768,2914413,5290,NA,NA,NA,4368,NA,NA,NA,4368,NA,NA,NA,NA,26749,-22381,2897321,NA,NA,11730,11730,NA,NA,NA,1625,10105,NA,NA,4597569,1690142,2907427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320378144,"SNC FONCIFLU",114,"59650","VILLENEUVE-D ASCQ","6820B","Location de terrains et d'autres biens immobiliers",5,68,682,6820,"6820B",NA,NA,NA,NA,NA,NA,FALSE
68,2012,NA,485840064,NA,25736446,511576510,NA,1617453,357130,1894419,566472,516011985,135878879,NA,NA,NA,142325954,15221247,133661059,48170975,1148571,497587554,18424430,2907408,NA,NA,31765,339072,5463390,NA,NA,5834227,7007500,NA,17,NA,7171596,-1337369,19994469,2903403,1291482,7128976,11323862,180646,7304852,NA,16673453,-5349591,3670330,3945252,536077481,529048185,7029296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320772510,"FLUNCH",1641,"59650","VILLENEUVE-D ASCQ","5610B","Cafétérias et autres libres-services",5,56,561,5610,"5610B",NA,NA,NA,NA,NA,NA,FALSE
69,2012,NA,NA,6473173,NA,6473173,-12580,NA,NA,9618,960,NA,NA,NA,2985416,81444,1134571,101691,1241466,548573,NA,NA,NA,NA,NA,NA,NA,63883,NA,NA,NA,NA,NA,3926,NA,NA,NA,59957,304637,17584,NA,NA,17584,270,NA,NA,270,NA,NA,100229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321111999,"SOFEC",1566,"30150","ROQUEMAURE","2030Z","Fabrication de peintures, vernis, encres et mastics",5,20,203,2030,"2030Z",NA,NA,NA,NA,NA,NA,FALSE
70,2012,NA,106675,NA,NA,106675,NA,NA,NA,NA,257,NA,66312,11894,NA,NA,19770,648,234,NA,19,100768,6165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,106933,101693,5240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322131830,"S.A.R.L. REPLICAR",783,"44000","NANTES","4765Z","Commerce de détail de jeux et jouets en magasin spécialisé",5,47,476,4765,"4765Z",NA,NA,NA,NA,NA,NA,FALSE
71,2012,NA,1856017,NA,9540,1865557,NA,NA,639,8977,NA,1875173,NA,53909,1219,744,131147,8625,280107,121813,NA,1827294,47880,NA,NA,NA,NA,4344,NA,NA,NA,4344,NA,NA,NA,NA,NA,4344,52224,NA,NA,NA,NA,1433,NA,NA,1433,1413,NA,10778,1882364,1839505,42859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322202250,"ALTICOOP",636,"06100","NICE","4764Z","Commerce de détail d'articles de sport en magasin spécialisé",5,47,476,4764,"4764Z",NA,NA,NA,NA,NA,NA,FALSE
72,2012,NA,NA,NA,2620175,2620175,NA,NA,NA,NA,3,2620177,NA,NA,NA,NA,245071,117138,NA,NA,2,778780,1841397,58636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32748,-32748,1867285,70,NA,NA,70,NA,NA,NA,452,-382,NA,NA,2678884,811981,1866903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322366600,"FONCIPAI",114,"59650","VILLENEUVE-D ASCQ","6820B","Location de terrains et d'autres biens immobiliers",5,68,682,6820,"6820B",NA,NA,NA,NA,NA,NA,FALSE
73,2012,NA,1233957,NA,8830,1242787,NA,NA,NA,180185,7,NA,821979,31478,323,NA,78734,10847,155253,70489,17114,1340178,82802,NA,NA,NA,NA,7547,NA,3413,NA,10960,NA,NA,2394,NA,2394,8566,91368,NA,NA,NA,45251,102029,NA,NA,102029,-56777,NA,5289,1479190,1449889,29302,NA,NA,NA,NA,NA,NA,28127,23135,5,NA,NA,NA,5022,82272,62304,NA,322566092,"TRITRADE",97,"75008","PARIS","4669B","Commerce de gros de fournitures et équipements industriels divers",5,46,466,4669,"4669B",NA,NA,NA,NA,NA,NA,FALSE
74,2012,NA,27590,741842,778268,1547699,-39590,145139,26317,NA,NA,1679566,NA,NA,331176,-19891,462718,21494,671108,293783,6295,1978211,-298645,NA,NA,NA,NA,NA,NA,NA,1532,13276,NA,NA,NA,NA,NA,13276,NA,2983,NA,185384,NA,9647,NA,NA,9647,178720,NA,-77952,1881209,1909905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322983420,"OVERLINE SYSTEMS",1466,"33510","ANDERNOS LES BAINS","2630Z","Fabrication d'équipements de communication",5,26,263,2630,"2630Z",NA,NA,NA,NA,NA,NA,FALSE
75,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540,2244,12000,3153,NA,23079,-23079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23079,-23079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323790949,"LE PETIT POUSSIN SARL FRANCE",1288,"92130","ISSY LES MOULINEAUX","4642Z","Commerce de gros d'habillement et de chaussures",5,46,464,4642,"4642Z",NA,NA,NA,NA,NA,NA,FALSE
76,2012,NA,9150312,NA,450615,9600927,NA,NA,NA,60216,20,9661163,8099728,-169819,4603,NA,722514,37031,712310,NA,36,9723926,-62764,NA,NA,NA,101619,40997,NA,NA,NA,142616,NA,NA,NA,NA,14398,128218,65454,10473,15900,NA,26373,3468,3000,NA,6468,19904,NA,NA,9830152,9772705,57447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324081439,"PARIS SCOOTER ACCESSOIRES",183,"75017","PARIS","4540Z","Commerce et réparation de motocycles",5,45,454,4540,"4540Z",NA,NA,NA,NA,NA,NA,FALSE
77,2012,NA,102589,NA,1244605,1347195,NA,NA,NA,3374,NA,NA,76796,NA,NA,NA,438861,17837,116573,40470,1,891062,459507,NA,NA,NA,NA,6561,NA,NA,NA,NA,NA,4732,NA,NA,4732,1828,461336,34524,31354,NA,65878,7,14587,NA,14594,51284,NA,NA,1423010,910389,512621,NA,NA,NA,NA,NA,NA,17518,185993,5,NA,7010,NA,5635,121721,80786,NA,325114064,"ESCALE DU PERTHUIS",1429,"85360","LA TRANCHE SUR MER","5530Z","Terrains de camping et parcs pour caravanes, véhicules de loisirs",5,55,553,5530,"5530Z",NA,NA,NA,NA,NA,NA,FALSE
78,2012,NA,NA,NA,492358,492358,NA,NA,NA,2083,402,494843,NA,NA,NA,NA,233164,6732,148072,69641,3446,488544,6299,NA,NA,NA,NA,NA,4972,NA,NA,4972,NA,NA,NA,NA,14991,-10019,-3720,169129,NA,NA,169129,7831,1078,NA,158909,10220,NA,-720,668944,661725,7220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325528057,"ADH - SAINT CIRE",545,"75005","PARIS","6910Z","Activités juridiques",5,69,691,6910,"6910Z",NA,NA,NA,NA,NA,NA,FALSE
79,2012,NA,NA,NA,468919,468919,NA,NA,NA,NA,NA,468919,NA,NA,NA,NA,212401,7715,61308,36667,NA,319475,149444,NA,NA,NA,NA,NA,NA,NA,24354,NA,NA,NA,NA,NA,NA,24354,173797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43482,493273,362957,130315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325931970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
80,2012,NA,NA,NA,65000,65000,NA,NA,NA,NA,3836,68836,NA,NA,NA,NA,14052,601,44466,3897,NA,63015,5821,NA,NA,NA,NA,2,NA,NA,NA,2,NA,6062,NA,NA,NA,-6060,-239,NA,NA,NA,NA,922,NA,NA,NA,-922,NA,NA,68838,69999,-1161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325932093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
81,2012,NA,24409108,13421,141780,24564309,NA,NA,1835,114008,3450,24683601,NA,-90890,57362,NA,2668732,251228,1551272,459302,23450,NA,-714247,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,22137,NA,NA,22137,-17137,-731383,14951,40000,55000,109951,NA,49136,10000,87398,22552,NA,-19864,24798552,25487519,-688967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326332483,"DUMEL",155,"76220","GOURNAY-EN-BRAY","4711D","Supermarchés",5,47,471,4711,"4711D",NA,NA,NA,NA,NA,NA,FALSE
82,2012,NA,NA,NA,1583722,1583722,NA,NA,3667,7869,3082,1598340,NA,NA,NA,NA,349308,21853,687609,309685,12865,1408195,190145,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,10474,NA,NA,10474,-10471,179673,NA,9303,NA,9303,NA,915,NA,915,8388,NA,54338,1607646,1473922,133723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326638061,"APSIS AUDIT",742,"75016","PARIS","6920Z","Activités comptables",5,69,692,6920,"6920Z",NA,NA,NA,NA,NA,NA,FALSE
83,2012,NA,NA,219839,839916,1059755,-2872,NA,NA,6051,4107,1067042,NA,117,NA,NA,548145,5775,297744,92626,20786,966697,NA,NA,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2812,NA,NA,2812,-2812,NA,NA,1067047,969510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326715893,"LES EDITIONS DE VERNEUIL",306,"75009","PARIS","5814Z","Édition de revues et périodiques",5,58,581,5814,"5814Z",NA,NA,NA,NA,NA,NA,FALSE
84,2012,NA,1359135,NA,37158,1396293,NA,NA,NA,29112,NA,NA,716926,-67484,11892,NA,419779,6327,115204,22930,NA,1304889,120516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120516,142,NA,NA,NA,398,NA,NA,398,-256,NA,33096,1425546,1338383,87164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326716040,"VOGUE MODE",636,"75008","PARIS","4764Z","Commerce de détail d'articles de sport en magasin spécialisé",5,47,476,4764,"4764Z",NA,NA,NA,NA,NA,NA,FALSE
85,2012,NA,NA,NA,NA,59336,NA,NA,NA,20000,NA,79336,NA,NA,18856,11278,24617,1712,16865,5977,24,85990,-6653,NA,NA,NA,NA,NA,NA,NA,334,334,NA,675,NA,NA,675,-341,-6994,NA,NA,NA,NA,45,NA,NA,NA,-45,NA,NA,79670,86710,-7039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326717543,"BOISSELLERIE HOLLARD",141,"88530","LE THOLY","1629Z","Fabrication objets divers en bois, liège, vannerie et sparterie",5,16,162,1629,"1629Z",NA,NA,NA,NA,NA,NA,FALSE
86,2012,NA,NA,NA,997098,997098,NA,NA,NA,8400,460,1005958,110009,NA,2310,NA,406194,25238,320342,129885,1459,999923,6035,NA,NA,NA,NA,100,NA,NA,NA,100,NA,295,NA,NA,295,-194,5841,NA,NA,NA,98146,366,NA,NA,366,97780,NA,NA,NA,1000584,103622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326765914,"RECIPROQUE NICOLE MOREL",1455,"75016","PARIS","4779Z","Commerce de détail de biens d'occasion en magasin",5,47,477,4779,"4779Z",NA,NA,NA,NA,NA,NA,FALSE
87,2012,NA,NA,NA,29297,29297,NA,NA,NA,NA,NA,29297,NA,NA,NA,NA,10753,588,18300,2800,NA,33591,-4294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29297,33591,-4294,NA,NA,NA,NA,NA,NA,3240,423,NA,3036,NA,NA,588,6871,1621,NA,326923414,"PROSOCIAL",314,"94300","VINCENNES","7022Z","Conseil pour les affaires et autres conseils de gestion",5,70,702,7022,"7022Z",NA,NA,NA,NA,NA,NA,FALSE
88,2012,NA,25609,11621,1634,38864,843,NA,NA,NA,NA,39707,NA,-6643,340,NA,19608,NA,17990,2288,2395,NA,3157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3157,81,NA,NA,81,NA,NA,NA,51,30,NA,NA,39788,36601,NA,NA,NA,NA,NA,NA,NA,NA,671,2,14023,NA,NA,NA,1766,1506,NA,326979770,"CARISCRIPT",1016,"75004","PARIS","5811Z","Édition de livres",5,58,581,5811,"5811Z",NA,NA,NA,NA,NA,NA,FALSE
89,2012,NA,NA,NA,119505,119505,NA,NA,NA,NA,NA,119505,NA,NA,NA,NA,26431,71,89908,35374,NA,151874,-32369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,NA,NA,232,-232,-32601,1441,NA,NA,NA,NA,NA,NA,NA,1441,NA,NA,120946,152106,-31160,NA,NA,NA,NA,NA,NA,260,3545,2,NA,NA,NA,71,22292,19349,NA,327796124,"RESIMMO",1010,"75008","PARIS","6831Z","Agences immobilières",5,68,683,6831,"6831Z",NA,NA,NA,NA,NA,NA,FALSE
90,2012,NA,NA,NA,198729,198729,NA,NA,NA,NA,384,199113,NA,NA,NA,NA,29497,1965,105035,33553,23580,195597,3516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2144,NA,NA,2144,-2144,1371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,199113,197948,1165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327822482,"GESTION INFORMATIQUE ET ORGANISATION DES ENTREPRISES",1431,"06600","ANTIBES","6311Z","Traitement de données, hébergement et activités connexes",5,63,631,6311,"6311Z",NA,NA,NA,NA,NA,NA,FALSE
91,2012,NA,6781,NA,243726,250508,NA,NA,NA,NA,2177,252685,NA,NA,20856,1700,87347,NA,169504,52234,5,347172,-94487,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,63,NA,NA,63,8,-94478,NA,NA,NA,NA,983,1524,NA,2507,-2507,NA,NA,252757,349743,-96986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327893228,"SOCIETE BELMONTAISE DE MEUBLES",176,"12370","BELMONT-SUR-RANCE","3109B","Fabrication autres meubles & industries connexes de l'ameublement",5,31,310,3109,"3109B",NA,NA,NA,NA,NA,NA,FALSE
92,2012,NA,NA,1227937,1446733,2674671,NA,NA,21791,24529,1012,2722002,NA,NA,415017,23712,1817840,10890,279478,124207,37,NA,7218,NA,NA,NA,129,533,NA,10,29042,NA,NA,137,25,NA,162,29553,36771,850,NA,NA,850,NA,618,NA,1090,-240,NA,-16183,2752566,2699853,52714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327977153,"TECHNOLOGIE & DEVELOPPEMENT",754,"77700","SERRIS","2660Z","Fab. éqpts d'irradiation médic. électromédic. & électrothérapeut.",5,26,266,2660,"2660Z",NA,NA,NA,NA,NA,NA,FALSE
93,2012,NA,2051756,-3118,227292,2275929,NA,NA,NA,16940,12811,2305680,NA,-160007,NA,NA,209653,23568,247632,65661,2212,2270487,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6023,NA,NA,6023,-6022,29171,227,4916,NA,NA,352,3586,NA,3937,1207,NA,1733,2310825,2282181,28644,NA,NA,NA,NA,NA,NA,4450,72829,9,15163,NA,1441,4723,351068,313469,NA,328170337,"GARAGE H. CHAPALAIN",118,"22500","KERFOT","4511Z","Commerce de voitures et de véhicules automobiles légers",5,45,451,4511,"4511Z",NA,NA,NA,NA,NA,NA,FALSE
94,2012,NA,NA,108074,576817,684891,-35577,NA,NA,NA,127,649441,NA,NA,NA,NA,193964,4880,278194,145191,2,NA,19731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19118,NA,NA,NA,-19118,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649441,648828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328223615,"LIGHT CIBLES",973,"75011","PARIS","7112B","Ingénierie, études techniques",5,71,711,7112,"7112B",NA,NA,NA,NA,NA,NA,FALSE
95,2012,NA,NA,NA,743847,743847,NA,NA,4375,9290,1041,758553,NA,NA,223590,-874,138088,7748,216935,47484,1030,692502,66052,NA,NA,12595,NA,NA,NA,NA,NA,12595,16265,3359,NA,1915,21539,NA,57107,NA,NA,NA,NA,4514,NA,42431,46945,NA,NA,9270,771148,770256,893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328263371,"MONTROSIER",992,"92200","NEUILLY SUR SEINE","5610A","Restauration traditionnelle",5,56,561,5610,"5610A",NA,NA,NA,NA,NA,NA,FALSE
96,2012,NA,147752,NA,3744513,3892265,NA,NA,NA,16335,1745,NA,89639,278,59392,4865,2600809,42003,465522,194049,12003,3547049,363297,NA,NA,NA,NA,NA,NA,NA,26746,26746,14057,NA,NA,NA,16784,9962,373259,30,2000,NA,2030,NA,NA,NA,99440,-97410,NA,76459,3939123,3739733,199390,NA,NA,NA,NA,NA,NA,9502,131634,15,2320776,12506,NA,13874,764897,472252,NA,328398862,"INFO-ROUTAGE",30,"87000","LIMOGES","8219Z","Photocopie prépa. documents & aut. activ. spéc. soutien de bureau",5,82,821,8219,"8219Z",NA,NA,NA,NA,NA,NA,FALSE
97,2012,NA,NA,NA,371589,371589,NA,NA,NA,3947,5,375541,NA,NA,NA,NA,120401,1614,71470,27645,4523,262571,112971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1832,-1832,111139,355,NA,NA,NA,NA,NA,NA,NA,355,NA,30182,375896,294584,81312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328612197,"SOCIETE INFORMATIQUE LIBOURNAISE SIL",1431,"33501","LIBOURNE","6311Z","Traitement de données, hébergement et activités connexes",5,63,631,6311,"6311Z",NA,NA,NA,NA,NA,NA,FALSE
98,2012,NA,4227691,286602,60950,4575242,NA,NA,NA,88642,531,4664416,2374231,208875,NA,NA,764008,77516,703145,338715,36957,4771754,NA,NA,NA,NA,NA,219,NA,6272,144,6635,NA,35493,22303,NA,NA,-51161,-158500,1593,20000,NA,21593,95218,NA,NA,140241,-118648,NA,NA,4692644,4969792,-277148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328986849,"ARIETE PRODUCTION",183,"30100","ALES","4540Z","Commerce et réparation de motocycles",5,45,454,4540,"4540Z",NA,NA,NA,NA,NA,NA,FALSE
99,2012,NA,NA,NA,82393,82393,NA,NA,NA,NA,49148,131541,NA,NA,NA,NA,74867,2899,9485,-15300,3406,83595,47946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52304,NA,NA,52304,NA,159,1526,1684,NA,NA,NA,183845,85280,98565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329025365,"PASTEL BODY PERFORMANCE",974,"77330","OZOIR-LA-FERRI","8551Z","Enseignement de disciplines sportives et d'activités de loisirs",5,85,855,8551,"8551Z",NA,NA,NA,NA,NA,NA,FALSE
100,2012,NA,NA,NA,610339,610339,NA,NA,NA,12387,25,622751,NA,NA,NA,NA,163995,4562,263328,93694,46572,594588,28162,NA,NA,NA,NA,3198,NA,NA,NA,3198,NA,570,NA,NA,NA,2628,30791,266,NA,NA,266,4644,NA,NA,NA,-4378,NA,4772,626215,604573,21641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329922785,"FIDECO FIDUCIAIRE D'ETUDE ET DE COMPTABILITE",742,"06140","VENCE","6920Z","Activités comptables",5,69,692,6920,"6920Z",NA,NA,NA,NA,NA,NA,FALSE
101,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2406323,NA,NA,NA,NA,567316,137238,756645,315613,NA,2407523,-1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1200,NA,843014,NA,843014,NA,NA,841814,841814,1200,NA,NA,3249337,3249337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330430646,"INTERNATIONAL YACHT CLUB D ANTIBES",1462,"06600","ANTIBES","5222Z","Services auxiliaires des transports par eau",5,52,522,5222,"5222Z",NA,NA,NA,NA,NA,NA,FALSE
102,2012,NA,50852810,38138,433736,51324685,NA,NA,8192,469273,551485,52353636,40625488,122555,113126,NA,3422049,726019,3627892,1195228,15674,51696219,NA,NA,NA,13425,6075,4894,NA,NA,NA,24396,NA,NA,NA,NA,438825,-414429,242986,4213,16010,274464,294687,271330,9940,NA,305162,-10475,95099,49748,52672719,52585055,87664,NA,NA,NA,NA,NA,NA,NA,NA,157,NA,NA,NA,NA,NA,NA,NA,330598202,"HERBIDIS",286,"85505","LES HERBIERS CEDEX","4711F","Hypermarchés",5,47,471,4711,"4711F",NA,NA,NA,NA,NA,NA,FALSE
