,ape,ape_name,ape_len,ape_cat0,ape_cat1,ape_cat2,ape_cat3,Libellé,Code
1493,4399,Autres travaux de construction spécialisés n.c.a.,4,43,9.0,9.0,,Construction,F
1494,5821Z,Édition de jeux électroniques,5,58,2.0,1.0,Z,Information et communication,J
1495,115,Culture du tabac,3,11,5.0,,,Industrie manufacturière,C
1496,9420Z,Activités des syndicats de salariés,5,94,2.0,0.0,Z,Autres activités de services,S
1497,0230Z,Récolte prod. forestiers non ligneux poussant à l'état sauvage,5,2,3.0,0.0,Z,"Agriculture, sylviculture et pêche",A
1498,0811Z,"Extraction pierres ornement. construc. calcaire industriel, gypse",5,8,1.0,1.0,Z,Industries extractives,B
1499,6810Z,Activités des marchands de biens immobiliers,5,68,1.0,0.0,Z,Activités immobilières,L
1500,8559,Enseignements divers,4,85,5.0,9.0,,Enseignement,P
1501,1101,Production de boissons alcooliques distillées,4,11,0.0,1.0,,Industrie manufacturière,C
1502,1092,Fabrication d'aliments pour animaux de compagnie,4,10,9.0,2.0,,Industrie manufacturière,C
1503,2825,Fabrication équipements aérauliques et frigorifiques industriels,4,28,2.0,5.0,,Industrie manufacturière,C
1504,6619A,Supports juridiques de gestion de patrimoine mobilier,5,66,1.0,9.0,A,Activités financières et d'assurance,K
1505,4663Z,"Comm de gros de machines pour l'extrac, la constr, le génie civil",5,46,6.0,3.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
1506,4634Z,Commerce de gros (commerce interentreprises) de boissons,5,46,3.0,4.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
1507,30,Fabrication d'autres matériels de transport,2,30,,,,Industrie manufacturière,C
1508,2822Z,Fabrication de matériel de levage et de manutention,5,28,2.0,2.0,Z,Industrie manufacturière,C
1509,7911Z,Activités des agences de voyage,5,79,1.0,1.0,Z,Activités de services administratifs et de soutien,N
1510,9001,Arts du spectacle vivant,4,90,0.0,1.0,,"Arts, spectacles et activités récréatives",R
1511,1439,Fabrication d'autres articles à mailles,4,14,3.0,9.0,,Industrie manufacturière,C
1512,491,Transport ferroviaire interurbain de voyageurs,3,49,1.0,,,Transports et entreposage,H
1513,0170Z,"Chasse, piégeage et services annexes",5,1,7.0,0.0,Z,"Agriculture, sylviculture et pêche",A
1514,7220Z,Recherche-développement en sciences humaines et sociales,5,72,2.0,0.0,Z,"Activités spécialisées, scientifiques et techniques",M
1515,6420Z,Activités des sociétés holding,5,64,2.0,0.0,Z,Activités financières et d'assurance,K
1516,9529,Réparation d'autres biens personnels et domestiques,4,95,2.0,9.0,,Autres activités de services,S
1517,6202B,Tierce maintenance de systèmes et d’applications informatiques,5,62,0.0,2.0,B,Information et communication,J
1518,2399Z,Fabrication d'autres produits minéraux non métalliques n.c.a.,5,23,9.0,9.0,Z,Industrie manufacturière,C
1519,8110Z,Activités combinées de soutien lié aux bâtiments,5,81,1.0,0.0,Z,Activités de services administratifs et de soutien,N
1520,3012,Construction de bateaux de plaisance,4,30,1.0,2.0,,Industrie manufacturière,C
1521,1394Z,"Fabrication de ficelles, cordes et filets",5,13,9.0,4.0,Z,Industrie manufacturière,C
1522,2790,Fabrication d'autres matériels électriques,4,27,9.0,0.0,,Industrie manufacturière,C
1523,6190Z,Autres activités de télécommunication,5,61,9.0,0.0,Z,Information et communication,J
1524,1051D,Fabrication d'autres produits laitiers,5,10,5.0,1.0,D,Industrie manufacturière,C
1525,1624,Fabrication d'emballages en bois,4,16,2.0,4.0,,Industrie manufacturière,C
1526,2611,Fabrication de composants électroniques,4,26,1.0,1.0,,Industrie manufacturière,C
