,ape,ape_name,ape_len,ape_cat0,ape_cat1,ape_cat2,ape_cat3,Libellé,Code
0,1020Z,"Transform. & conserv. poisson, crustacés & mollusques",5,10,2.0,0.0,Z,Industrie manufacturière,C
1,812,Activités de nettoyage,3,81,2.0,,,Activités de services administratifs et de soutien,N
2,1610B,Imprégnation du bois,5,16,1.0,0.0,B,Industrie manufacturière,C
3,0910Z,Activités de soutien à l'extraction d'hydrocarbures,5,9,1.0,0.0,Z,Industries extractives,B
4,7420Z,Activités photographiques,5,74,2.0,0.0,Z,"Activités spécialisées, scientifiques et techniques",M
5,4776Z,"Comm. dét. fleurs, plantes, etc, animaux de cie et leurs aliments",5,47,7.0,6.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
6,4742Z,Comm. détail matériels télécommunication (magasin spécialisé),5,47,4.0,2.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
7,2363,Fabrication de béton prêt à l'emploi,4,23,6.0,3.0,,Industrie manufacturière,C
8,2652,Horlogerie,4,26,5.0,2.0,,Industrie manufacturière,C
9,8122Z,Autres activités nettoyage des bâtiments et nettoyage industriel,5,81,2.0,2.0,Z,Activités de services administratifs et de soutien,N
10,94,Activités des organisations associatives,2,94,,,,Autres activités de services,S
11,8622A,Activités de radiodiagnostic et de radiothérapie,5,86,2.0,2.0,A,Santé humaine et action sociale,Q
12,5010,Transports maritimes et côtiers de passagers,4,50,1.0,0.0,,Transports et entreposage,H
13,561,Restaurants et services de restauration mobile,3,56,1.0,,,Hébergement et restauration,I
14,0114Z,Culture de la canne à sucre,5,1,1.0,4.0,Z,"Agriculture, sylviculture et pêche",A
15,1411Z,Fabrication de vêtements en cuir,5,14,1.0,1.0,Z,Industrie manufacturière,C
16,267,Fabrication de matériels optique et photographique,3,26,7.0,,,Industrie manufacturière,C
17,2640,Fabrication de produits électroniques grand public,4,26,4.0,0.0,,Industrie manufacturière,C
18,1051B,Fabrication de beurre,5,10,5.0,1.0,B,Industrie manufacturière,C
19,0162Z,Activités de soutien à la production animale,5,1,6.0,2.0,Z,"Agriculture, sylviculture et pêche",A
20,4666,Commerce de gros d'autres machines et équipements de bureau,4,46,6.0,6.0,,Commerce ; réparation d'automobiles et de motocycles,G
21,309,Fabrication de matériels de transport n.c.a.,3,30,9.0,,,Industrie manufacturière,C
22,475,Comm. détail autres équipts du foyer (magasin spécialisé),3,47,5.0,,,Commerce ; réparation d'automobiles et de motocycles,G
23,01,"Culture et production animale, chasse et services annexes",2,1,,,,"Agriculture, sylviculture et pêche",A
24,0123Z,Culture d'agrumes,5,1,2.0,3.0,Z,"Agriculture, sylviculture et pêche",A
25,4520B,Entretien et réparation d'autres véhicules automobiles,5,45,2.0,0.0,B,Commerce ; réparation d'automobiles et de motocycles,G
26,4789Z,Autres commerces de détail sur éventaires et marchés,5,47,8.0,9.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
27,2013B,Fabric. d'autres produits chimiques inorganiques de base n.c.a.,5,20,1.0,3.0,B,Industrie manufacturière,C
28,89,Activités extractives n.c.a.,2,89,,,,,
29,4675,Commerce de gros de produits chimiques,4,46,7.0,5.0,,Commerce ; réparation d'automobiles et de motocycles,G
30,8219Z,Photocopie prépa. documents & aut. activ. spéc. soutien de bureau,5,82,1.0,9.0,Z,Activités de services administratifs et de soutien,N
31,4644Z,"Commerce de gros de vaisselle, verrerie et produits d'entretien",5,46,4.0,4.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
32,4624,Commerce de gros de cuirs et peaux,4,46,2.0,4.0,,Commerce ; réparation d'automobiles et de motocycles,G
33,7740Z,Loc-bail de propriété intell. & sf oeuvres soumises à copyright,5,77,4.0,0.0,Z,Activités de services administratifs et de soutien,N
34,0161Z,Activités de soutien aux cultures,5,1,6.0,1.0,Z,"Agriculture, sylviculture et pêche",A
35,4669C,Comm. gros de fournitures & équipts divers pour commerces & sces,5,46,6.0,9.0,C,Commerce ; réparation d'automobiles et de motocycles,G
36,4612A,Centrales d'achat de carburant,5,46,1.0,2.0,A,Commerce ; réparation d'automobiles et de motocycles,G
37,32,Autres industries manufacturières,2,32,,,,Industrie manufacturière,C
38,2453,Fonderie de métaux légers,4,24,5.0,3.0,,Industrie manufacturière,C
39,2670Z,Fabrication de matériels optique et photographique,5,26,7.0,0.0,Z,Industrie manufacturière,C
40,36,"Captage, traitement et distribution d'eau",2,36,,,,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",E
41,6491,Crédit-bail,4,64,9.0,1.0,,Activités financières et d'assurance,K
42,8211Z,Services administratifs combinés de bureau,5,82,1.0,1.0,Z,Activités de services administratifs et de soutien,N
43,6832B,Supports juridiques de gestion de patrimoine immobilier,5,68,3.0,2.0,B,Activités immobilières,L
44,663,Gestion de fonds,3,66,3.0,,,Activités financières et d'assurance,K
45,1511,"Apprêt, tannage des cuirs; préparation et teinture des fourrures",4,15,1.0,1.0,,Industrie manufacturière,C
46,192,Raffinage du pétrole,3,19,2.0,,,Industrie manufacturière,C
47,2443Z,"Métallurgie du plomb, du zinc ou de l'étain",5,24,4.0,3.0,Z,Industrie manufacturière,C
48,2670,Fabrication de matériels optique et photographique,4,26,7.0,0.0,,Industrie manufacturière,C
49,712,Activités de contrôle et analyses techniques,3,71,2.0,,,"Activités spécialisées, scientifiques et techniques",M
50,8230,Organisation de salons professionnels et congrès,4,82,3.0,0.0,,Activités de services administratifs et de soutien,N
51,5629B,Autres services de restauration n.c.a.,5,56,2.0,9.0,B,Hébergement et restauration,I
52,4932,Transports de voyageurs par taxis,4,49,3.0,2.0,,Transports et entreposage,H
53,289,Fabrication d'autres machines d'usage spécifique,3,28,9.0,,,Industrie manufacturière,C
54,9412Z,Activités des organisations professionnelles,5,94,1.0,2.0,Z,Autres activités de services,S
55,9492Z,Activités des organisations politiques,5,94,9.0,2.0,Z,Autres activités de services,S
56,23,Récolte produits forestiers non ligneux poussant à l'état sauvage,2,23,,,,Industrie manufacturière,C
57,3316,Réparation et maintenance d'aéronefs et d'engins spatiaux,4,33,1.0,6.0,,Industrie manufacturière,C
58,58,Édition,2,58,,,,Information et communication,J
59,8622,Activité des médecins spécialistes,4,86,2.0,2.0,,Santé humaine et action sociale,Q
60,9200Z,Organisation de jeux de hasard et d'argent,5,92,0.0,0.0,Z,"Arts, spectacles et activités récréatives",R
61,2442,Métallurgie de l'aluminium,4,24,4.0,2.0,,Industrie manufacturière,C
62,3317,Réparation et maintenance d'autres équipements de transport,4,33,1.0,7.0,,Industrie manufacturière,C
63,3099Z,Fabrication d’autres équipements de transport n.c.a.,5,30,9.0,9.0,Z,Industrie manufacturière,C
64,4941B,Transports routiers de fret de proximité,5,49,4.0,1.0,B,Transports et entreposage,H
65,8622C,Autres activités des médecins spécialistes,5,86,2.0,2.0,C,Santé humaine et action sociale,Q
66,613,Télécommunications par satellite,3,61,3.0,,,Information et communication,J
67,9601B,Blanchisserie-teinturerie de détail,5,96,0.0,1.0,B,Autres activités de services,S
68,2896Z,Fabric. machines pour le travail du caoutchouc ou des plastiques,5,28,9.0,6.0,Z,Industrie manufacturière,C
69,2561Z,Traitement et revêtement des métaux,5,25,6.0,1.0,Z,Industrie manufacturière,C
70,191,Cokéfaction,3,19,1.0,,,Industrie manufacturière,C
71,3103,Fabrication de matelas,4,31,0.0,3.0,,Industrie manufacturière,C
72,0710Z,Extraction de minerais de fer,5,7,1.0,0.0,Z,Industries extractives,B
73,1071,Fabrication de pain et de pâtisserie fraîche,4,10,7.0,1.0,,Industrie manufacturière,C
74,202,Fabrication de pesticides et d’autres produits agrochimiques,3,20,2.0,,,Industrie manufacturière,C
75,2731Z,Fabrication de câbles de fibres optiques,5,27,3.0,1.0,Z,Industrie manufacturière,C
76,6512Z,Autres assurances,5,65,1.0,2.0,Z,Activités financières et d'assurance,K
77,3523Z,Commerce de combustibles gazeux par conduites,5,35,2.0,3.0,Z,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",D
78,9313Z,Activités des centres de culture physique,5,93,1.0,3.0,Z,"Arts, spectacles et activités récréatives",R
79,8690F,Activités de santé humaine non classées ailleurs,5,86,9.0,0.0,F,Santé humaine et action sociale,Q
80,1091,Fabrication d'aliments pour animaux de ferme,4,10,9.0,1.0,,Industrie manufacturière,C
81,81,Services relatifs aux bâtiments et aménagement paysager,2,81,,,,Activités de services administratifs et de soutien,N
82,8560Z,Activités de soutien à l'enseignement,5,85,6.0,0.0,Z,Enseignement,P
83,1084,Fabrication de condiments et assaisonnements,4,10,8.0,4.0,,Industrie manufacturière,C
84,5811,Édition de livres,4,58,1.0,1.0,,Information et communication,J
85,4726Z,Comm. détail de produits à base de tabac en magasin spécialisé,5,47,2.0,6.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
86,9411,Activités des organisations patronales et consulaires,4,94,1.0,1.0,,Autres activités de services,S
87,2014,Fabrication d'autres produits chimiques organiques de base,4,20,1.0,4.0,,Industrie manufacturière,C
88,4673A,Commerce de gros de bois et de matériaux de construction,5,46,7.0,3.0,A,Commerce ; réparation d'automobiles et de motocycles,G
89,2030,"Fabrication de peintures, vernis, encres et mastics",4,20,3.0,0.0,,Industrie manufacturière,C
90,4611Z,"Interm. du comm. en m.p. agricoles & textiles, animaux vivants",5,46,1.0,1.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
91,3299Z,Autres activités manufacturières n.c.a.,5,32,9.0,9.0,Z,Industrie manufacturière,C
92,4399B,Travaux de montage de structures métalliques,5,43,9.0,9.0,B,Construction,F
93,5030,Transports fluviaux de passagers,4,50,3.0,0.0,,Transports et entreposage,H
94,2351,Fabrication de ciment,4,23,5.0,1.0,,Industrie manufacturière,C
95,6190,Autres activités de télécommunication,4,61,9.0,0.0,,Information et communication,J
96,3513,Distribution d'électricité,4,35,1.0,3.0,,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",D
97,4669B,Commerce de gros de fournitures et équipements industriels divers,5,46,6.0,9.0,B,Commerce ; réparation d'automobiles et de motocycles,G
98,4661Z,Commerce de gros (commerce interentreprises) de matériel agricole,5,46,6.0,1.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
99,7490,"Autres activités spécialisées, scientifiques et techniques n.c.a.",4,74,9.0,0.0,,"Activités spécialisées, scientifiques et techniques",M
100,3530Z,Production et distribution de vapeur et d'air conditionné,5,35,3.0,0.0,Z,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",D
101,8542,Enseignement supérieur,4,85,4.0,2.0,,Enseignement,P
102,146,Élevage de porcins,3,14,6.0,,,Industrie manufacturière,C
103,324,Fabrication de jeux et jouets,3,32,4.0,,,Industrie manufacturière,C
104,4647,"Commerce de gros de meubles, de tapis et d'appareils d'éclairage",4,46,4.0,7.0,,Commerce ; réparation d'automobiles et de motocycles,G
105,0312Z,Pêche en eau douce,5,3,1.0,2.0,Z,"Agriculture, sylviculture et pêche",A
106,2320Z,Fabrication de produits réfractaires,5,23,2.0,0.0,Z,Industrie manufacturière,C
107,8899B,Action sociale sans hébergement n.c.a.,5,88,9.0,9.0,B,Santé humaine et action sociale,Q
108,951,Réparation d'ordinateurs et d'équipements de communication,3,95,1.0,,,Autres activités de services,S
109,310,Fabrication de meubles,3,31,0.0,,,Industrie manufacturière,C
110,05,Extraction de houille et de lignite,2,5,,,,Industries extractives,B
111,1061,Travail des grains,4,10,6.0,1.0,,Industrie manufacturière,C
112,4631,Commerce de gros de fruits et légumes,4,46,3.0,1.0,,Commerce ; réparation d'automobiles et de motocycles,G
113,5224B,Manutention non portuaire,5,52,2.0,4.0,B,Transports et entreposage,H
114,6820B,Location de terrains et d'autres biens immobiliers,5,68,2.0,0.0,B,Activités immobilières,L
115,562,Traiteurs et autres services de restauration,3,56,2.0,,,Hébergement et restauration,I
116,6629Z,Aut. activités auxiliaires d'assurance et de caisses de retraite,5,66,2.0,9.0,Z,Activités financières et d'assurance,K
117,302,Construction locomotives et autre matériel ferroviaire roulant,3,30,2.0,,,Industrie manufacturière,C
118,4511Z,Commerce de voitures et de véhicules automobiles légers,5,45,1.0,1.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
119,4648Z,Commerce de gros d'articles d'horlogerie et de bijouterie,5,46,4.0,8.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
120,2432Z,Laminage à froid de feuillards,5,24,3.0,2.0,Z,Industrie manufacturière,C
121,292,Fabrication de carrosseries et remorques,3,29,2.0,,,Industrie manufacturière,C
122,4781,Commerce de détail alimentaire sur éventaires et marchés,4,47,8.0,1.0,,Commerce ; réparation d'automobiles et de motocycles,G
123,872,Héberg. social person. handicap. & malades mentales & toxicomanes,3,87,2.0,,,Santé humaine et action sociale,Q
124,431,Démolition et préparation des sites,3,43,1.0,,,Construction,F
125,9499,Activités des organisations associatives n.c.a.,4,94,9.0,9.0,,Autres activités de services,S
126,3700,Collecte et traitement des eaux usées,4,37,0.0,0.0,,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",E
127,7735,Location et location-bail de matériels de transport aérien,4,77,3.0,5.0,,Activités de services administratifs et de soutien,N
128,29,Industrie automobile,2,29,,,,Industrie manufacturière,C
129,0220Z,Exploitation forestière,5,2,2.0,0.0,Z,"Agriculture, sylviculture et pêche",A
130,2752Z,Fabrication d'appareils ménagers non électriques,5,27,5.0,2.0,Z,Industrie manufacturière,C
131,2370,"Taille, façonnage et finissage de pierres",4,23,7.0,0.0,,Industrie manufacturière,C
132,0163Z,Traitement primaire des récoltes,5,1,6.0,3.0,Z,"Agriculture, sylviculture et pêche",A
133,899,Autres activités extractives n.c.a.,3,89,9.0,,,,
134,6612,Courtage de valeurs mobilières et de marchandises,4,66,1.0,2.0,,Activités financières et d'assurance,K
135,3319Z,Réparation d'autres équipements,5,33,1.0,9.0,Z,Industrie manufacturière,C
136,282,Fabrication d'autres machines d'usage général,3,28,2.0,,,Industrie manufacturière,C
137,9512Z,Réparation d'équipements de communication,5,95,1.0,2.0,Z,Autres activités de services,S
138,25,"Fabric. produits métalliques, sf machines & équipements",2,25,,,,Industrie manufacturière,C
139,8412Z,Adm. pub. tutelle santé form. cult. & social (aut que sécu. soc.),5,84,1.0,2.0,Z,Administration publique,O
140,5913B,Edition et distribution vidéo,5,59,1.0,3.0,B,Information et communication,J
141,1629Z,"Fabrication objets divers en bois, liège, vannerie et sparterie",5,16,2.0,9.0,Z,Industrie manufacturière,C
142,8541Z,Enseignement post-secondaire non supérieur,5,85,4.0,1.0,Z,Enseignement,P
143,2790Z,Fabrication d'autres matériels électriques,5,27,9.0,0.0,Z,Industrie manufacturière,C
144,4752,Comm. détail quincaillerie peintures & verres (magasin spéc.),4,47,5.0,2.0,,Commerce ; réparation d'automobiles et de motocycles,G
145,4711E,Magasins multi-commerces,5,47,1.0,1.0,E,Commerce ; réparation d'automobiles et de motocycles,G
146,0141Z,Élevage de vaches laitières,5,1,4.0,1.0,Z,"Agriculture, sylviculture et pêche",A
147,6492Z,Autre distribution de crédit,5,64,9.0,2.0,Z,Activités financières et d'assurance,K
148,5813Z,Édition de journaux,5,58,1.0,3.0,Z,Information et communication,J
149,8020,Activités liées aux systèmes de sécurité,4,80,2.0,0.0,,Activités de services administratifs et de soutien,N
150,0150Z,Culture et élevage associés,5,1,5.0,0.0,Z,"Agriculture, sylviculture et pêche",A
151,3530,Production et distribution de vapeur et d'air conditionné,4,35,3.0,0.0,,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",D
152,8899,Autre action sociale sans hébergement n.c.a.,4,88,9.0,9.0,,Santé humaine et action sociale,Q
153,8413Z,Administration publique (tutelle) des activités économiques,5,84,1.0,3.0,Z,Administration publique,O
154,8541,Enseignement post-secondaire non supérieur,4,85,4.0,1.0,,Enseignement,P
155,4711D,Supermarchés,5,47,1.0,1.0,D,Commerce ; réparation d'automobiles et de motocycles,G
156,8621Z,Activité des médecins généralistes,5,86,2.0,1.0,Z,Santé humaine et action sociale,Q
157,5520,Hébergement touristique et autre hébergement de courte durée,4,55,2.0,0.0,,Hébergement et restauration,I
158,1820,Reproduction d'enregistrements,4,18,2.0,0.0,,Industrie manufacturière,C
159,512,Transports aériens de fret et transports spatiaux,3,51,2.0,,,Transports et entreposage,H
160,5110,Transports aériens de passagers,4,51,1.0,0.0,,Transports et entreposage,H
161,27,Fabrication d'équipements électriques,2,27,,,,Industrie manufacturière,C
162,232,Fabrication de produits réfractaires,3,23,2.0,,,Industrie manufacturière,C
163,8030,Activités d'enquête,4,80,3.0,0.0,,Activités de services administratifs et de soutien,N
164,6832A,Administration d'immeubles et autres biens immobiliers,5,68,3.0,2.0,A,Activités immobilières,L
165,2511,Fabrication de structures métalliques et de parties de structures,4,25,1.0,1.0,,Industrie manufacturière,C
166,2352Z,Fabrication de chaux et plâtre,5,23,5.0,2.0,Z,Industrie manufacturière,C
167,4774Z,Comm. détail d'articles médicaux & orthopédiques en magasin spéc.,5,47,7.0,4.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
168,1091Z,Fabrication d'aliments pour animaux de ferme,5,10,9.0,1.0,Z,Industrie manufacturière,C
169,4725Z,Commerce de détail de boissons en magasin spécialisé,5,47,2.0,5.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
170,78,Activités liées à l'emploi,2,78,,,,Activités de services administratifs et de soutien,N
171,653,Caisses de retraite,3,65,3.0,,,Activités financières et d'assurance,K
172,8610Z,Activités hospitalières,5,86,1.0,0.0,Z,Santé humaine et action sociale,Q
173,4633Z,"Com. gros produits laitiers, oeufs, huiles & mat. grasses comest.",5,46,3.0,3.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
174,7320Z,Études de marché et sondages,5,73,2.0,0.0,Z,"Activités spécialisées, scientifiques et techniques",M
175,1391,Fabrication d'étoffes à mailles,4,13,9.0,1.0,,Industrie manufacturière,C
176,3109B,Fabrication autres meubles & industries connexes de l'ameublement,5,31,0.0,9.0,B,Industrie manufacturière,C
177,6910,Activités juridiques,4,69,1.0,0.0,,"Activités spécialisées, scientifiques et techniques",M
178,74,"Autres activités spécialisées, scientifiques et techniques",2,74,,,,"Activités spécialisées, scientifiques et techniques",M
179,970,Activ. ménages : employeurs de personnel domestique,3,97,0.0,,,Activités des ménages en tant qu'employeurs ; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre,T
180,9311Z,Gestion d'installations sportives,5,93,1.0,1.0,Z,"Arts, spectacles et activités récréatives",R
181,2891,Fabrication de machines pour la métallurgie,4,28,9.0,1.0,,Industrie manufacturière,C
182,3240,Fabrication de jeux et jouets,4,32,4.0,0.0,,Industrie manufacturière,C
183,4540Z,Commerce et réparation de motocycles,5,45,4.0,0.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
184,119,Autres cultures non permanentes,3,11,9.0,,,Industrie manufacturière,C
185,2312Z,Façonnage et transformation du verre plat,5,23,1.0,2.0,Z,Industrie manufacturière,C
186,9103,Gestion sites monuments historiques & attractions tourist. simil.,4,91,0.0,3.0,,"Arts, spectacles et activités récréatives",R
187,5510Z,Hôtels et hébergement similaire,5,55,1.0,0.0,Z,Hébergement et restauration,I
188,8421,Affaires étrangères,4,84,2.0,1.0,,Administration publique,O
189,1420Z,Fabrication d'articles en fourrure,5,14,2.0,0.0,Z,Industrie manufacturière,C
190,2821,Fabrication de fours et brûleurs,4,28,2.0,1.0,,Industrie manufacturière,C
191,4213,Construction de ponts et tunnels,4,42,1.0,3.0,,Construction,F
192,1420,Fabrication d'articles en fourrure,4,14,2.0,0.0,,Industrie manufacturière,C
193,1052,Fabrication de glaces et sorbets,4,10,5.0,2.0,,Industrie manufacturière,C
194,823,Organisation de salons professionnels et congrès,3,82,3.0,,,Activités de services administratifs et de soutien,N
195,7320,Études de marché et sondages,4,73,2.0,0.0,,"Activités spécialisées, scientifiques et techniques",M
196,4635Z,Commerce de gros de produits à base de tabac,5,46,3.0,5.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
197,4540,Commerce et réparation de motocycles,4,45,4.0,0.0,,Commerce ; réparation d'automobiles et de motocycles,G
198,3320B,Installation de machines et équipements mécaniques,5,33,2.0,0.0,B,Industrie manufacturière,C
199,41,Construction de bâtiments,2,41,,,,Construction,F
200,1104Z,Production d'autres boissons fermentées non distillées,5,11,0.0,4.0,Z,Industrie manufacturière,C
201,7112A,Activité des géomètres,5,71,1.0,2.0,A,"Activités spécialisées, scientifiques et techniques",M
202,2363Z,Fabrication de béton prêt à l'emploi,5,23,6.0,3.0,Z,Industrie manufacturière,C
203,3822Z,Traitement et élimination des déchets dangereux,5,38,2.0,2.0,Z,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",E
204,2899A,Fabrication de machines d'imprimerie,5,28,9.0,9.0,A,Industrie manufacturière,C
205,9411Z,Activités des organisations patronales et consulaires,5,94,1.0,1.0,Z,Autres activités de services,S
206,351,"Production, transport et distribution d'électricité",3,35,1.0,,,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",D
207,3514,Commerce d'électricité,4,35,1.0,4.0,,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",D
208,77,Activités de location et location-bail,2,77,,,,Activités de services administratifs et de soutien,N
209,1520,Fabrication de chaussures,4,15,2.0,0.0,,Industrie manufacturière,C
210,45,Commerce et réparation d'automobiles et de motocycles,2,45,,,,Commerce ; réparation d'automobiles et de motocycles,G
211,0124Z,Culture de fruits à pépins et à noyau,5,1,2.0,4.0,Z,"Agriculture, sylviculture et pêche",A
212,4771Z,Commerce de détail d'habillement en magasin spécialisé,5,47,7.0,1.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
213,5812,Édition de répertoires et de fichiers d'adresses,4,58,1.0,2.0,,Information et communication,J
214,2342,Fabrication d'appareils sanitaires en céramique,4,23,4.0,2.0,,Industrie manufacturière,C
215,5829,Édition d'autres logiciels,4,58,2.0,9.0,,Information et communication,J
216,4511,Commerce de voitures et de véhicules automobiles légers,4,45,1.0,1.0,,Commerce ; réparation d'automobiles et de motocycles,G
217,3316Z,Réparation et maintenance d'aéronefs et d'engins spatiaux,5,33,1.0,6.0,Z,Industrie manufacturière,C
218,4291Z,Construction d'ouvrages maritimes et fluviaux,5,42,9.0,1.0,Z,Construction,F
219,6832,Administration de biens immobiliers,4,68,3.0,2.0,,Activités immobilières,L
220,22,Fabrication de produits en caoutchouc et en plastique,2,22,,,,Industrie manufacturière,C
221,452,Entretien et réparation de véhicules automobiles,3,45,2.0,,,Commerce ; réparation d'automobiles et de motocycles,G
222,0812Z,"Exploit gravieres & sablieres, extraction argiles & kaolin",5,8,1.0,2.0,Z,Industries extractives,B
223,1082Z,"Fabrication de cacao, chocolat et de produits de confiserie",5,10,8.0,2.0,Z,Industrie manufacturière,C
224,273,Fabric. fils câbles & matériel d'installation électrique,3,27,3.0,,,Industrie manufacturière,C
225,2894Z,Fabrication de machines pour les industries textiles,5,28,9.0,4.0,Z,Industrie manufacturière,C
226,1031Z,Transformation et conservation de pommes de terre,5,10,3.0,1.0,Z,Industrie manufacturière,C
227,3314,Réparation d'équipements électriques,4,33,1.0,4.0,,Industrie manufacturière,C
228,0510Z,Extraction de houille,5,5,1.0,0.0,Z,Industries extractives,B
229,8790A,Hébergement social pour enfants en difficultés,5,87,9.0,0.0,A,Santé humaine et action sociale,Q
230,2892,Fabrication de machines pour l'extraction ou la construction,4,28,9.0,2.0,,Industrie manufacturière,C
231,4799,"Autres commerces de détail hors magasin, éventaires ou marchés",4,47,9.0,9.0,,Commerce ; réparation d'automobiles et de motocycles,G
232,7220,Recherche-développement en sciences humaines et sociales,4,72,2.0,0.0,,"Activités spécialisées, scientifiques et techniques",M
233,1520Z,Fabrication de chaussures,5,15,2.0,0.0,Z,Industrie manufacturière,C
234,4690Z,Commerce de gros (commerce interentreprises) non spécialisé,5,46,9.0,0.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
235,2453Z,Fonderie de métaux légers,5,24,5.0,3.0,Z,Industrie manufacturière,C
236,5210A,Entreposage et stockage frigorifique,5,52,1.0,0.0,A,Transports et entreposage,H
237,851,Enseignement pré-primaire,3,85,1.0,,,Enseignement,P
238,4674A,Commerce de gros (commerce interentreprises) de quincaillerie,5,46,7.0,4.0,A,Commerce ; réparation d'automobiles et de motocycles,G
239,3832,Récupération de déchets triés,4,38,3.0,2.0,,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",E
240,2314,Fabrication de fibres de verre,4,23,1.0,4.0,,Industrie manufacturière,C
241,4753,"Comm. détail tapis, moquettes & revêts murs & sols (magas. spéc.)",4,47,5.0,3.0,,Commerce ; réparation d'automobiles et de motocycles,G
242,2593,"Fabrication d'articles en fils métalliques, chaînes et ressorts",4,25,9.0,3.0,,Industrie manufacturière,C
243,3012Z,Construction de bateaux de plaisance,5,30,1.0,2.0,Z,Industrie manufacturière,C
244,7219Z,Recherche-développement : autres sciences physiques et naturelles,5,72,1.0,9.0,Z,"Activités spécialisées, scientifiques et techniques",M
245,2364,Fabrication de mortiers et bétons secs,4,23,6.0,4.0,,Industrie manufacturière,C
246,9522Z,Réparation appareils électromén. & équipts maison & jardin,5,95,2.0,2.0,Z,Autres activités de services,S
247,1062Z,Fabrication de produits amylacés,5,10,6.0,2.0,Z,Industrie manufacturière,C
248,4299Z,Construction d'autres ouvrages de génie civil n.c.a.,5,42,9.0,9.0,Z,Construction,F
249,4638B,Commerce de gros alimentaire spécialisé divers,5,46,3.0,8.0,B,Commerce ; réparation d'automobiles et de motocycles,G
250,10,Industries alimentaires,2,10,,,,Industrie manufacturière,C
251,4719,Autre commerce de détail en magasin non spécialisé,4,47,1.0,9.0,,Commerce ; réparation d'automobiles et de motocycles,G
252,3011Z,Construction de navires et de structures flottantes,5,30,1.0,1.0,Z,Industrie manufacturière,C
253,501,Transports maritimes et côtiers de passagers,3,50,1.0,,,Transports et entreposage,H
254,2017Z,Fabrication de caoutchouc synthétique,5,20,1.0,7.0,Z,Industrie manufacturière,C
255,3212Z,Fabrication d’articles de joaillerie et bijouterie,5,32,1.0,2.0,Z,Industrie manufacturière,C
256,0130Z,Reproduction de plantes,5,1,3.0,0.0,Z,"Agriculture, sylviculture et pêche",A
257,2932,Fabrication d'autres équipements automobiles,4,29,3.0,2.0,,Industrie manufacturière,C
258,9003A,Création artistique relevant des arts plastiques,5,90,0.0,3.0,A,"Arts, spectacles et activités récréatives",R
259,1092Z,Fabrication d'aliments pour animaux de compagnie,5,10,9.0,2.0,Z,Industrie manufacturière,C
260,0210Z,Sylviculture et autres activités forestières,5,2,1.0,0.0,Z,"Agriculture, sylviculture et pêche",A
261,8299Z,Autres activités de soutien aux entreprises n.c.a.,5,82,9.0,9.0,Z,Activités de services administratifs et de soutien,N
262,2932Z,Fabrication d'autres équipements automobiles,5,29,3.0,2.0,Z,Industrie manufacturière,C
263,37,Collecte et traitement des eaux usées,2,37,,,,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",E
264,4791,Vente à distance,4,47,9.0,1.0,,Commerce ; réparation d'automobiles et de motocycles,G
265,4333Z,Travaux de revêtement des sols et des murs,5,43,3.0,3.0,Z,Construction,F
266,2433,Profilage à froid par formage ou pliage,4,24,3.0,3.0,,Industrie manufacturière,C
267,619,Autres activités de télécommunication,3,61,9.0,,,Information et communication,J
268,86,Activités pour la santé humaine,2,86,,,,Santé humaine et action sociale,Q
269,3040,Construction de véhicules militaires de combat,4,30,4.0,0.0,,Industrie manufacturière,C
270,432,Travaux install. électrique plomberie & autres travaux d'install.,3,43,2.0,,,Construction,F
271,4212Z,Construction de voies ferrées de surface et souterraines,5,42,1.0,2.0,Z,Construction,F
272,4313Z,Forages et sondages,5,43,1.0,3.0,Z,Construction,F
273,4778C,Autres commerces de détail spécialisés divers,5,47,7.0,8.0,C,Commerce ; réparation d'automobiles et de motocycles,G
