siren,Chiffres d’affaires nets,"Impôts, taxes et versements assimilés"
328801014,2388245,15953
328815246,35689532,212379
328862164,935349,23144
328986849,3495262,62994
329000301,356194,116
329020788,2228879,13846
329023592,4228002,90728
329025365,41292,3093
329072078,1251929,9820
329073621,2400,847
329086706,5999745,116890
329096317,1717061,46483
329107106,345288,2400
329133334,1831397,36060
329152375,29424477,234617
329200216,557570,46728
329236061,141992,10808
329243489,48664,2823
329245658,225092,2817
329265458,977876,9758
329277552,83301,2857
329302822,29908,1121
329361026,230265,NA
329402507,12937808,326919
329441315,3275,834
329506141,165562,4744
329507792,12958027,259807
329519052,84062,5329
329626030,292732,1166
329627731,151166,431
329628630,521636,1991
329651129,42163637,662220
329690226,2686661,7589
329690671,7884805,259560
329746002,94288,1380
329788509,1175806,5944
329803134,12973,247
329859052,20202,202
329922785,628717,5569
329949192,5697439,165292
329949572,5492302,75738
329971089,1471576,11050
329991640,80615,739
330042441,1089581,7432
330066531,129973871,1852892
330119819,8620875,110179
330129883,150126,1598
330160391,38167,641
330189150,49562706,578871
330201138,2044914,22018
330202060,315967,10762
330232851,362519,44458
330267253,1368104,13804
330354614,5373446,58461
330405820,238505,2604
330430646,NA,171173
330456039,4000,498
330495227,20709111,240730
330534082,2109543,21789
330581299,592252,5679
330588351,683975,3418
330589755,230301410,3481935
330589813,290224,4283
330598202,52009767,802882
330607664,101290,2016
330687526,668214,14153
330704057,106769,2557
330714569,4268734,37644
330730573,NA,69
330740184,276680,705
330762345,2890708,46525
330772427,262861,3647
330825027,203787,15297
330825068,6773347,99436
330853342,61210,1972
330914839,NA,21406
330980905,788758,NA
330996893,1749056,43835
331034629,144819,4649
331036715,70000,4324
331057158,1705476,17621
331065656,2642564,40300
331074971,36956,559
331091322,429297,6648
331109454,19479063,235939
331142554,3142920308,4222498
331153130,986154,37837
331171389,1593408,16425
331195552,1162295,5738
331204131,825154,6211
331261628,19485548,193211
331376004,6077832,103356
331377788,839685,10416
331396002,12808536,110510
331396424,389047,7903
331406454,109847,3094
331407213,NA,NA
331417964,4931771,59815
331420059,370139,3030
331431783,NA,NA
331445304,1594794,36913
331456459,1665631,35882
331456798,25285,1059
331476671,1488446,7368
331479956,1079343,12835
331518407,1422940,43368
331554014,NA,201
331567305,25033578,NA
331596577,842031,6044
331596981,535022,2097
331618579,4023870,42798
331662916,4598,70
331688168,5655801,3302
331693044,613725,24151
331703215,73515,1847
331718486,NA,NA
331786194,3406465,47716
331788471,1552925,16514
331790741,125948,2579
331804328,NA,NA
331816553,425433,21852
331832675,57210593,237873
331842625,945086,35578
331890574,149698,513
331891978,395241,14609
331900837,1554000,31043
331928101,2847546,163458
331941088,990648,9801
331952739,644831,20180
331966069,4662485,30293
331968446,257022,28772
331997031,3495902,92496
332077932,1144775,8302
332109750,1051569,10100
332148477,100309,4881
332148501,627942,23540
332174945,9602149,93209
332185388,292111,3090
332187954,261681,4244
332187970,3047828,66958
332212240,1940088,133963
332235886,85928100,1350090
332252147,NA,9400
332291640,1886085,33181
332346436,287827,8870
332376003,11506951,117268
332403252,509032,2603
332443076,185299,2767
332453117,376307,23910
332470145,2223382,31631
332536226,365049,6152
332538511,45285,NA
332566850,4021467,58742
332587583,186924,3810
332626860,272100,6215
332640556,NA,NA
332714096,12711329,480349
332749498,6449386,62988
332760123,924338,12461
332774371,2686832,6345
332890581,10953341,184330
332910512,738696,32204
332920529,855149,11086
332921477,2112940,20512
332947282,5900,467
332975309,797406,20306
333007011,1009284,5263
333019180,4529370,27533
333033116,40504,721
333072833,6928209,51937
333100840,234577,15992
333120707,632922,9647
333136331,7915010,85292
333160760,3680698,5025
333161529,1304393,8604
333202083,289714805,5103436
333203180,NA,1314
333222321,16443584,75997
333243327,1108551,8532
333266575,1398519,20643
333277556,347119,8608
333285401,204273,2662
333295350,1575032,1505
333306801,6651054,228184
333329274,714604,NA
333352565,11160727,65956
333362531,13678943,274530
333363844,810858,47820
333383404,8727566,88796
333385037,1824282,34938
333391605,2552334,16190
333392389,NA,661
333402147,1574063,30376
333430247,876420,10603
333433068,66225,73
333433522,1741691,65932
333485472,NA,17008
333520583,120000,11113
333542157,35905076,407201
333556686,1395794,9090
333565083,58854,NA
333603835,240862,5636
333634350,155521,3801
333659456,211113,749
333661288,510172,21079
333672657,1880650,5205
333707727,499988,65461
333707933,33808735,390334
333721165,142673,561
333750735,282093,17461
333799237,4376052,47876
333821528,701908,8188
333821692,45470331,89692
333844744,14911665,158562
333858611,3609715,12873
333868347,892885,8953
333939957,2102739,67784
333997070,460945,7057
334027620,3252817,66406
334042991,9011871,127870
334066636,89285,721
334098365,2855652,24731
334121902,NA,478
334138047,693028,11442
334203999,13500,1145
334240645,NA,33876
334267432,3431761,37960
334267945,14418732,361188
334300019,380783,9696
334396926,1063214,9680
334398799,NA,20489
334411840,2492464,11428
334413804,7789277,116816
334427044,5260161,76904
334427085,3657,1416
334439098,55563,949
334453784,1649906,22695
334501335,1892146,22967
334503471,2383958,52103
334504214,168500,1049
334504537,189142,3182
334515921,NA,NA
334516887,45000,893
334518412,1030384,8591
334537644,1659467,26447
334558426,3508633,59319
334669314,4965173,72295
334686227,333176,8014
334692134,885077,15906
334708781,17073184,112286
334718558,266871,2087
334736865,3184690,23265
334766599,26620,2051
334784303,68524,955
334785011,5243339,42110
334818176,1293616,7994
334822566,4656,802
334850484,179309,4449
334899671,827501,2333
334924966,7155335,NA
334958717,773148,65982
334990058,69374,10932
335003885,2337671,18519
335014312,2130061,19651
335017240,3800,5573
335109344,368406,2589
335129698,577830,4500
335160933,10725904,176226
335306957,1806306,46882
335308680,208918,942
335310348,91924253,3460684
335321733,1687406,7024
335325825,897366,44073
335358073,1267786,9088
335680328,2690185,54380
336320072,21775541,287546
337482194,2395300,53932
337492409,33662,287
337556799,8564619,69193
337575831,380034,810
337579551,2424900,102339
337588370,NA,256
337598908,671930,5988
337661045,222379,5071
337696132,2021552,19775
337701734,149430,1748
337797211,54846738,772351
337823710,2723480,117456
337844237,NA,NA
337874309,5849260,130590
337898837,2139031,11250
337929145,1256438,23802
337941223,401579,6362
337954390,3419,204
337961361,2488125,46002
337977722,17973668,46194
338004682,654824,17142
338039035,2819405,40380
338101512,28501,286
338115124,1108219,2512
338129166,123558,1403
338134919,NA,1174
338158090,402931,1296
338224629,13752954,342494
338246481,142000,2556
338267487,5084462,50232
338267768,2245776,13202
338296049,1104750,5149
338298219,59867307,1298920
338331028,7360823,111033
338337959,9881692,163063
338369390,2729378,8852
338402415,720027,3734
338418296,243006,14291
338421878,3972690,24778
338435589,386,14647
338484744,472041,5625
338485576,127631,373
338499791,5568488,110681
338518947,505804,927
338540347,980092,8585
338595465,NA,565
338601396,2130581,21157
338677487,901459,23414
338748536,3210155,24066
338750763,2012565,27299
338832330,729467,8054
338868763,2958476,23775
338885411,2694681,43335
338925191,562567,9746
338947401,416345,1884
339004137,532023,101
339010332,101605837,258887
339036378,4148552,21719
339040784,710616,57605
339065419,600538,5799
339095549,38319,1062
339115032,216508,642
339127839,388790,10070
339143265,4522340,56682
339149809,567865,6981
339175317,508585,4849
339178162,250753,5434
339188070,206800,8102
339199994,6749261,53130
339221327,592791,3864
339253833,1583753,41167
339259764,2036204,17036
339278509,492696,9211
339298531,1183124,14038
339302309,1612370,84796
339306540,3302241,30896
339322042,14186801,83623
339365330,3161397,49387
339375321,2697680,18367
339376394,NA,NA
339383440,2120823,45968
339398935,105321,9012
339399875,1458447,13949
339425514,182080,1854
339436693,49828465,664802
339477184,609741,6920
339486078,5002506,51246
339496754,1411399,14587
339501009,1364152,7483
339513004,7262546,NA
339525172,1956277,5586
339533051,1474000,16088
339541625,3346968,76100
339555252,926000,8030
339560450,3117799,10365
339563645,1081920,8122
339587388,134422,2378
339638645,NA,NA
339649220,470895,3421
339667313,186302,9426
339702748,7606841,50856
339704595,3409300,66982
339714339,221082,4801
339728610,2522430,33961
339737009,1012494,10892
339744591,223247,766
339766024,2977520,NA
339767642,3875415,38286
339776908,959268,3619
339786956,NA,267
339794059,2131044,30692
339827222,70083,49383
339830507,NA,11978
339845976,1180610,11977
339853178,3304578,43224
339867855,138472,1744
339887366,1527203,21947
339900292,615152,36747
339901233,46817,NA
339927949,2302019,-418
339956633,1867962,29459
340081165,351531,NA
340177948,1889952,83396
340194059,1165079,9097
340204015,5963046,136215
340214444,3900022,68780
340219443,853085,32063
340220771,318026,12946
340255306,732262,8637
340275783,355726,3415
340276039,309673,6192
340310655,428803,2221
340409713,10920709,169064
340412261,159191,4228
340428689,533244,2770
340483981,3045,-1060
340533496,591767,6677
340534858,1370244,11861
340545441,244977309,4471454
340552363,1418583,16458
340556489,43135473,823052
340571728,8971385,240476
340577394,723565,22550
340590645,398647,10400
340617034,4200696,51154
340617323,595722,13694
340721331,823833,9516
340722347,1621353,19812
340724319,17537829,347171
340738111,890976,13077
340740745,16931405,295192
340799196,715785,11082
340832872,455751,32043
340889476,56707302,876925
340946409,168709,1369
340948868,9000,535
340999051,13687685,140972
341032563,2670158,16010
341035368,3245461,40757
341084507,28394,4791
341087369,9936098,259740
341092195,25863235,582282
341109395,38567,2263
341111706,25837664,408830
341125912,3708609,185136
341139434,709491,12989
341179778,276628,777
341222479,1297849,3803
341223964,596063,11505
341238723,NA,NA
341240828,935789,13047
341247351,252548,9353
341261071,117500,431
341263598,423495,11712
341298859,NA,NA
341313526,969262,NA
341345841,1070402,3041
341444891,8306401,140327
341458701,151769,4454
341550259,1651012,5268
341550663,NA,4936
341580421,25471,1208
341630903,367924,2067
341656130,23478,770
341672418,399928,1089
341677862,7070066,81036
341715167,1282629,12180
341715886,333896,13618
341767168,2989712,50969
341780674,NA,670
341817609,9925957,NA
341824084,1004864,7711
341885135,14403394,133540
341890846,2356780,45392
341892123,16625,858
341913549,27362505,206586
341919876,1989672,10538
341992899,2315225,20907
342003571,205887,2991
342010725,45793512,557914
342013166,467756,4325
342024296,70480,1365
342030665,3927272,23370
342031812,998093,80731
342034584,863719,10837
342058575,1408930,27889
342066727,44050448,480809
342086154,469698,5375
342113701,255543,23933
342122512,250,356
342123023,3271961,10379
342160090,3381576,74175
342164639,574130,6540
342165164,47288,2444
342172475,17346659,201890
342183464,549271,165523
342209053,663262,1975
342253770,43900,267
342259769,717,673
342260742,633576,11960
342289022,522524,68208
342291291,149619,NA
342305513,5884110,86179
342317153,1724764,62560
342320884,49026886,362442
342397270,61718261,1089542
342418993,24469663,349021
342430691,41667,2354
342451168,237125,1630
342493665,1023226,19010
342501392,NA,65
342527090,6999442,NA
342584117,2413859,47828
342613874,NA,24613
342621810,501356,1750
342630340,36850143,809485
342710191,28479,9012
342727468,10738,707
342867660,557388,4974
342888542,348314,4568
342891686,944994,3750
342944139,4974,2046
342979564,458207390,NA
342989589,10263534,182353
343005013,2310960,19596
343006227,6926,18002
343018040,360748,7531
343045654,240778,7104
343045753,637875,19635
343055778,305665,5795
343058020,101214,2033
343096418,719231,9725
343102091,680040,9398
343113106,NA,NA
343121877,4133839,89058
343122875,764159,6568
343127585,109414994,1852426
343155461,321582,3829
343161550,8541457,199164
343162822,1028368,19537
343165205,950460,15301
343243762,7412979,248659
343265088,131300,9389
343266284,207763,3610
343268017,349291,2211
343276580,3456383,84459
343291464,35652574,786488
343294195,214344253,2176066
343297560,21241592,203134
343300810,NA,28523
343313383,NA,6534
343319331,247,NA
343341988,72857497,1855825
343366191,NA,NA
343405643,3649,348
343419263,1981662,25958
343420303,11744879,239251
343432571,279553,3296
343481206,294223,7283
343491254,1388621,20937
343518833,139114,23339
343525796,758149,16016
343552931,1389948,19208
343554010,922956,9589
343561494,1079096,8222
343587788,554215,5365
343619771,1356353,23185
343622148,735114,31863
343622643,NA,NA
343632949,1112775,10788
343669362,5682877,61234
343716460,3449784,51358
343743068,NA,1300
343752895,31832613,675363
343755930,868595,48579
343789384,NA,33
343796553,2225715,28504
343802534,232772,1684
343838041,144451,6548
343842795,978906,7522
343855755,NA,212
343865754,347045,2933
343875035,NA,859
343906194,4911058,46696
343933859,175931,31226
343944054,803735,13057
343946646,205212,4220
343952818,667021,12102
343959441,1022037,12289
343964227,60048,6624
343974721,479791,3596
343979241,212859,1594
343993101,693269,6017
344004973,377392,6280
344024732,277045830,1050889
344025317,468079,3420
344047980,807510,5600
344071592,NA,NA
344074760,61525,1330
344080833,3333137,11730
344122296,1191716,1277
344130281,906696,3841
344226527,16084405,176580
344237011,27611501,862222
344276738,530426,7513
344318852,190612,293
344320379,13880772,166535
344332366,687630,1866
344345152,681650,22008
344405139,1058687,11399
344438585,4417,1190
344441753,4052489,NA
344445432,310725,8939
344466255,345022,18467
344477195,94870,651
344526306,1606716,8911
344609243,3085006,42124
344656269,9088297,54752
344663695,950167,6291
344673900,1015299,9130
344684725,186000,114927
344707013,NA,73
344733324,257695,3693
344744909,1003446,8009
344746284,7132375,49945
344774393,10304685,103754
344775424,1075366,12461
344792270,1896705,39123
344809231,11432015,209076
344810353,1000,207
344826060,4652095,20610
344827241,5907017,29145
344827548,3028857,40164
344851910,845806,6947
344869334,44061462,504923
344918552,NA,NA
344921440,3194,470
344927520,1654782,30188
344928817,210855,4370
344958319,2910524,30488
344998802,253604,4555
345005532,1944221,14259
345006357,12979,723
345030811,1446764,30525
345035679,1292254,8118
345059729,3431549,17105
345098495,12224673,250543
345100028,1515583,7046
345171250,138408,368
345176051,195856,512
345197677,1034569,69165
345202147,4245535,-13092
345209787,10411574,158430
345210058,2837797,25498
345233340,35232021,257748
345247175,NA,270
345255012,NA,NA
345263628,NA,649
345301030,102079,542
345335376,683394,9945
345335574,1696209,11349
345353924,601830,3835
345358758,3993262,54758
345378509,717093,NA
345383160,207644,1901
345384119,16606367,684106
345820294,39974954,460910
347280141,1053721,12715
347395436,34149,20823
347395915,49156,1388
347401580,896578,9669
347402901,137806,14724
347417164,1826033,22700
347422982,48000,2412
347442600,258484,3390
347489262,2036641,12624
347490807,11059,568
347501934,565070,2092
347523250,349253,3087
347529539,724173,8192
347536906,573976,5149
347540130,43584823,254518
347543753,571253,4178
347555674,2404920,41041
347570350,64300333,1513816
347602716,54090450,694936
347633778,3718757,28198
347647976,2423339,12062
347648131,1436071,19636
347648891,NA,NA
347657561,151371,7214
347667438,336287,6796
347688939,602858,3489
347709537,738107,8247
347716276,1047691,6911
347744260,3841119,28034
347756686,423704,4631
347767790,4816368,96071
347767915,NA,803
347772725,NA,3134
347772741,2980773,13295
347798001,15346627,94416
347804247,146567,1282
347812448,1765799,15328
347821282,270307,6623
347857906,253742,431
347873390,NA,73
347897191,1679698,82451
347900854,5073642,93397
347941833,1284032,75155
347962565,1287538,20876
347980468,261078,2713
347998957,980960,2033
348035213,4707482,91656
348072901,1948579,31422
348076985,846592,8105
348078452,NA,NA
348112863,490998,7235
348127044,307165,12272
348129487,108796,1270
348169921,579867,6106
348210196,3654033,193011
348229196,667619,10514
348242280,8524524,87427
348260712,410969,4145
348270232,360000,19017
348274341,4869254,113514
348284795,2525645,26607
348285099,60574,1500
348301029,52063,103
348301227,1084487,13062
348305251,2904,3453
348391822,25159,NA
348408840,70186,15273
348433525,722000,48860
348444712,12165809,144690
348445974,419873,6034
348501545,305773,1659
348577040,763545,10579
348593476,100822,1535
348627282,1308401,15616
348670647,744358,45001
348671124,1607618,22946
348684044,15095,750
348729005,1710834,33269
348740580,212787,2674
348746348,512205,2010
348768748,10403625,68243
348777467,NA,NA
348784927,7846133,56351
348791245,1787369,20812
348806043,797470,31202
348816539,4620,84
348823238,66000,453
348841263,1998408,7668
348842964,NA,NA
348843905,400870,7642
348902149,171166,1581
348912593,902811,30339
348996521,665099,6439
349007351,216375,1414
349047712,6182204,214049
349071548,761109,-4957
349081133,45522,968
349099861,941954,35393
349105452,376610,32972
349107565,935344,12208
349138396,202829,378
349143727,112787,9527
349145649,54104,5179
349166173,24352569,273657
349175588,3280247,20526
349185082,301091,-2463
349208900,76979,NA
349213249,9876072,350207
349224808,1998812,18507
349228189,581168,16776
349242248,2094337,8896
349270413,300000,9816
349276600,1537983,18917
349305680,8668408,15462
349311878,22173450,558249
349320333,2047751,124060
349354019,747779,2438
349365635,663909,8448
349369868,3988365,37812
349374868,1820906,34102
349393496,465254,1729
349397877,NA,11372
349455394,837903,11125
349459198,4055904,163852
349466342,889170,29106
349486936,637271,26640
349498303,2925551,64671
349509638,2024131,11901
349528513,500,73
349545103,23564852,447355
349578187,15792,726
349619965,964703,11643
349662643,42540,3197
349690768,285970,52607
349703744,18190906,155534
349732115,5315616,35911
349762476,671937,4453
349797225,501366,5199
349804864,33169326,143358
349844175,10816793,159255
349855296,1059672,9251
349862250,4931900,48061
349910356,177168,7086
349956284,1455377,7624
350017810,55309,16088
350039434,4020174,11884
350056339,70190206,974361
350066932,5851135,25056
350072732,2709236,28054
350086245,185179,5519
350093407,2986430,46275
350125894,4244708,41374
350130019,880301,7494
350131835,1502599,13137
350169025,153490,2083
350229753,2591473,12583
350231965,413928,5450
350261038,1099231,15081
350266359,586414,5662
350274502,420319,7860
350283438,2475295,17822
350299509,190238,1420
350311601,438075,3487
350323416,4793365,63958
350335402,12273781,111167
350345450,831531,14068
350351763,12055884,110359
350356150,52165,8022
350362240,1087290,12542
350415915,2011733,28851
350433421,2625811,-1941
350434494,69786156,3018667
350454096,16421,334
350460101,15469702,123680
350464210,2724172,55028
350475596,5566721,221645
350481610,NA,NA
350483822,1073452,21329
350490678,32345224,735437
350494985,45810,4218
350499208,55967,940
350517777,1706259,13474
350537205,64500,662
350564043,734612,39045
350589339,657822,10004
350665022,132833475,1818417
350683082,448088,3644
350718573,1106067,2666
350732772,1572236,2632
350735700,2705026,108639
350765665,750086,18019
350796314,2188410,21875
350797221,NA,14
350805362,32903,574
350811451,NA,NA
350828729,278130,5308
350839114,519470,9393
350839601,178714,5417
350856852,4770438,67137
350867537,297007,2092
350869004,18696567,415605
350878567,232294,156
350939070,62464170,271735
350943916,NA,97
350946034,1486825,43352
350951109,158987,3613
350968533,NA,424
350979787,767854,17381
350992012,NA,187
350996492,3344968,116695
351029871,2681762,43206
351048798,163700,1088
351057732,159767,4132
351061544,20394,1515
351110531,36959,2104
351133046,74736,NA
351149703,502988,1990
351153135,1082488,15594
351166442,53844,4552
351197892,2785201,20791
351226378,227813,16139
351257241,112300,NA
351263389,134695,1596
351291802,1892979,19357
351293238,185796,2140
351338462,100930,8557
351338660,33942261,461489
351339189,30793049,338648
351389994,273192,411
351447628,590746,14047
351495809,1165467,12625
351531132,NA,466
351531819,223367,1754
351536099,321076,2177
351545520,2173799,49203
351565171,NA,-3203
351571617,1983423,4782
351572888,2858519174,3293110
351594627,5199393,63210
351610563,4327175,51197
351612619,1385725,28840
351625561,18416208,332810
351630009,84231971,1380143
351636873,138147,13691
351642863,590544,19233
351648928,143896,1362
351649116,NA,236
351660584,37796,3933
351699061,165296,3626
351700646,1115475,3724
351705512,520317,5831
351725858,2468026,50877
351755202,797890,8076
351780515,NA,2155
351783592,836436,9006
351825591,61477,713
351840400,713584,NA
351869060,9063256,73944
351869664,2597733,12178
351922604,205766,8168
351927124,1216707,27213
351929831,2287208,9067
351976832,224533,234
352005144,2638832,72996
352014955,943489743,10381779
352043400,531967,1745
352051619,932742,13671
352106199,5855485,110314
352109557,30847767,273416
352128870,537166,2866
352144836,691320,15677
352145668,138831,1427
352178784,3720625,177616
352205207,19570,615
352211379,1340643,8620
352238901,590471,243106
352242150,451820,615
352245344,518109,12962
352258305,1151643,6604
352383400,2829681,52243
352387104,1074464,11577
352502900,965137,13146
352508717,763053,NA
352525596,1192422,22581
352572671,1935142,45026
352602817,1357876,10977
352637888,141986,4658
352649206,2227826,24930
352667505,1831522,23258
352681779,26297566,314443
352717383,2097710,33974
352724397,103955,1426
352764195,259085,4239
352816276,987431,6298
352826382,15346,73
352831879,1113595,9719
352832166,873838,57302
352853618,2139765,32756
352853923,6500,114657
352854673,1397775,9863
352863088,1227394,30690
352868863,13227,696
352891618,5734623,52255
352902977,152516,11137
352922173,149023,675
352939193,1864,119
352942577,2172063,25273
353044449,4022368,65809
353047624,617691,7785
353048507,NA,NA
353059728,176387,1313
353070105,9318851,80549
353071053,7061204,NA
353079478,3665035,74999
353099310,2454253,1745
353102536,781661,5142
353119993,94090,176
353120843,1103062,2048
353148059,12153,411
353155492,474238379,2023737
353169618,NA,2007
353204191,3467761,129088
353216039,64271653,829161
353288335,3640984,24161
353300403,NA,481
353311525,104612392,2343801
353313455,55415,4834
353316474,603378,24982
353326044,785296,9848
353339179,228021,11579
353353394,2036787,27326
353379654,445225,8306
353413503,1213040,5060
353429566,23981,1711
353429889,218507,1806
353451123,1091441,3880
353466824,9719901,25515
353488976,2152085,12658
353490121,729093,1860
353498405,73145,1148
353498439,936402,32627
353498777,1162544,13365
353518095,865821,2555
353539729,528937,4582
353551047,15783708,201641
353553266,7990,466
353555030,1570783,24138
353580574,17541742,199206
353613136,400591,3940
353620719,502446,4498
353633316,597180,8944
353637325,NA,NA
353651920,653699,5828
353705510,510150,52807
353715295,13194394,269697
353723661,1132702,11737
353730682,NA,863
353746084,3546856,27500
353779994,1256129,1274
353780836,160829,1796
353799158,1333676,23172
353862550,2050410,60995
353880842,3591712,4667
353885353,2266623,22030
353896376,108124,1505
353901457,315412,12563
353903115,365624,8899
353907421,1447579,20707
353930134,1609701,62121
353948763,1178026,6779
353962814,1808633,13872
353964422,34075,6610
353974322,4192914,67281
353980618,535481,4004
353992704,1112868,6606
354014474,228268,3049
354047425,150733,2776
354051153,147925,20596
354063448,126700,1984
354098725,NA,NA
360500011,1330790,36247
372201046,835226,24849
376280384,28444451,444810
377080312,79182550,783518
377150149,5662227,502240
377481189,1393243,13461
377488028,246926,1157
377496294,113983,376
377501978,4527009,67707
377520135,1076603,17658
377520796,1923355,25355
377523253,2229127,28208
377562277,3241008,61951
377568621,6665,175
377602180,1989087,40007
377604269,192767,5764
377672829,2063933,19004
377687694,1389661,5642
377731880,185084,496
377733126,NA,152
377756853,24710433,616911
377880919,37198,NA
377891908,1630399,69601
377899893,5853904,133109
377942057,893092,22344
377957386,722398,40810
377970157,29443,NA
377972633,53899,1191
377977186,55629,474
377979414,223907,4214
377982517,11830954,258530
377996095,455560,7627
378029896,189073,1020
378050645,125218,3745
378064000,5989224,85841
378122980,NA,NA
378166995,320396,11047
378183560,547588,2786
378185334,4086819,39844
378205355,110448779,423828
378218150,42303,799
378270227,23610670,273886
378273908,5235802,91330
378284962,239285,1810
378302798,1013178,10856
378303770,237971,6297
378314066,596271,8603
378326383,16066749,156500
378357545,15495,4324
378389977,634836,7721
378403984,105617745,1163161
378416846,NA,2825
378418057,9006625,102196
378444186,2330763,35189
378478432,872030,8825
378493589,375302,11443
378524029,4466655,84857
378526206,1007247,9246
378582126,1148904,14822
378583215,1958240,38404
378637607,13689,824
378651814,1976892,23726
378654750,NA,150
378656664,1147021,28951
378698450,1104737,8720
378727697,816885,927
378749972,46663986,488316
378815138,1962477,21608
378815930,7853108,NA
378825004,140700,1137
378825616,294666,2956
378833057,1206491,9731
378876585,9636887,157821
378888085,8165265,184749
378900203,3925941,19145
378909279,79446,NA
378925101,2294544,6051
378967053,49643,1397
378970750,26205,1190
378978811,3255376,21406
378997423,277395,3342
379041320,55199,453
379059538,473126,5058
379060858,3264664,109899
379072200,464712,3363
379086770,167544,439
379087059,54979,572
379094899,5261720,35769
379128416,353486,159
379166325,84551150,1165451
379166598,10238693,189035
379181282,229761,4153
379198443,7309569,61391
379217417,20577,-1
379236771,214260,251
379245608,330591,3814
379245731,907837,51327
379250806,8265160,625302
379269178,77463,1843
379274129,379971,2965
379281934,1190061,14705
379312234,1252372,33189
379319056,703128,7511
379325178,986176,90776
379342587,3376959,48825
379437148,788865,9167
379455447,14366831,136724
379456973,135237,676
379457260,1735159,42160
379470040,289163,7271
379475726,521648,3528
379488307,NA,NA
379491343,1794883,9893
379503923,33599750,368187
379506934,NA,686
379509433,6958654,43324
379527021,1756455,28237
379527203,4620,65
379556129,127502,2128
379565179,14000,4014
379601180,696736,11562
379613730,216964,1530
379627664,63738824,149102
379645690,706539,34872
379652050,NA,NA
379670631,2119653,36531
379674039,97553,679
379680952,1304135,18058
379737869,42130014,566649
379747405,25476099,295542
379775075,NA,169
379776057,NA,NA
379780356,719610,10840
379838022,1101164,16642
379846694,82910,1459
379869688,56671,235
379923188,2657565,33239
379941578,452876,5627
379948912,275030,5597
379951494,4783312,70205
379959281,NA,NA
379984891,284325227,5027485
379992282,41685871,298482
379994734,12992842,711494
380026443,284334,14480
380034710,208047,4113
380043968,1713346,8504
380044404,19795,3974
380045526,46611576,290384
380062828,270223,2788
380067959,495095,9130
380076299,50000,387
380078774,NA,244
380082081,2000817,106848
380084863,1925786,32532
380100404,1120146,7813
380110346,106149,15916
380115618,784329,13115
380115915,196673,1184
380118422,23615327,474337
380122572,1130415,17479
380132373,62832,-70
380134981,1640307,38588
380164368,472343,49183
380245530,360812,9540
380280602,1455699,7734
380300962,2135614,49966
380305078,60128352,429515
380307116,64752,NA
380343806,1056943,24800
380357509,NA,73
380385088,3003997,26120
380386318,1649411,8829
380388918,42678374,793932
380389197,8980140,83362
380405530,306819,470
380422147,1377894,18119
380424184,54605,232
380449777,44252,1364
380468348,1894620,43475
380480665,549404,3079
380481465,2616569,32674
380483248,23208,3002
380486845,461773,26256
380487017,2615543,67712
380487967,1187467,27932
380497214,12673,NA
380514851,2197152,49358
380519280,1193130,28766
380519686,20012266,156533
380522359,224310,1997
380554014,201000,1679
380579078,18295,1066
380604223,487596,4669
380610691,1020842,16913
380617027,1063575,26232
380683607,614665,20564
380702357,8355597,607657
380713503,135194,1006
380715094,6222876,92103
380730283,967688,12323
380730721,NA,557
380786574,5065890,22789
380788083,40712116,472439
380790972,691676,NA
380792440,8756581,-184064
380796797,325487,6935
380812644,3606006,30672
380826073,1263914,28059
380827493,NA,1112
380828897,185936,911
380841940,3326621,57473
380847699,72216,486
380870998,450022,6073
380907550,383797,49380
380911453,3950207,92125
380913343,32390355,426046
380945378,46779635,527852
380946897,3736570,48944
380960427,1154198,28819
380977538,1347780,56623
380978171,NA,1478
380987180,561193,88260
381002500,17171929,442590
381004415,972519,14757
381024611,5038112,6336
381041029,413951,10363
381065978,2062649,42283
381067768,1768391,26848
381070218,9429,1076
381078138,1429350,23306
381106897,232787,4855
381112044,31085,1180
381112697,773111,4060
381125434,1252400,10415
381150184,193000,1876
381154129,295506,4470
381181643,353972,1847
381188473,365804,2088
381197284,1009211,11378
381216571,472546,16912
381249523,1603325,16850
381252121,22280423,292766
381263383,987877,12158
381291087,5352669,45940
381311190,2603483,126466
381344316,8970319,146649
381346196,18545686,148476
381347517,NA,1981
381352707,28336,2993
381382092,3521575,79999
381390467,326057,7574
381393958,3272475,17890
381433366,NA,2841
381461334,39127242,425828
381472612,8232142,109572
381486836,1820442,2377
381491919,447724,10533
381499151,117327566,2005565
381557321,7230414,142111
381558873,319856,8912
381571595,1295552,34729
381590199,14228687,347064
381605641,5491812,101640
381619733,3146943,34891
381633049,1171370,5108
381653625,183409,7074
381666361,23303075,370353
381686740,8063,1181
381703503,75048,910
381721174,4846,1138
381794189,724982,22246
381822659,4258997,83097
381870005,50897,2528
381871037,233410,349
381900372,624938,8869
381905140,709038,10562
381910728,57173,726
381922582,NA,171
381979855,670065,17860
381994490,NA,2922
382006831,934643,24137
382024644,155552,1279
382024792,NA,227
382079622,43587056,240202
382080547,520439,27962
382092815,NA,6376
382093110,634014,5052
382124626,2070563,66664
382148450,150578,4214
382206498,70955,1441
382210482,87978,6081
382210839,NA,2574
382275097,147499,NA
382282325,2621629,-13598
382283588,28825323,173209
382292597,45141,NA
382295780,15042489,226047
382395374,3461076,20672
382403681,1317593,5861
382422731,613237,15194
