siren,Subventions d’exploitation
445128283,NA
445306418,3000
445720238,NA
447497900,NA
447732926,NA
448091900,NA
448271205,NA
448310672,NA
448332189,NA
448403774,NA
448815456,1678
448826859,NA
448928184,NA
449079557,NA
449132455,NA
449153089,NA
449166362,NA
449390368,NA
449418342,NA
449452218,NA
449510080,NA
449559236,NA
449636158,NA
449677053,NA
449679067,NA
449735869,NA
449836667,NA
449837079,NA
449894187,NA
450060009,NA
450061239,NA
450276811,NA
450350087,NA
450370499,NA
450390257,NA
450486964,NA
450511217,NA
450575022,NA
450624192,364372
450658000,NA
450695754,NA
450705348,NA
450809983,NA
450823620,16946
450965645,NA
450995923,NA
451011548,NA
451074173,NA
451322531,NA
451367155,NA
451426415,NA
451489363,NA
451637961,NA
451729669,NA
451763379,NA
451853303,NA
451876395,NA
451929798,NA
451980734,NA
452022262,NA
452206550,1264
452352164,59512
452575772,NA
452702434,NA
452749047,221
452784697,NA
452872419,1720
452947930,1000
453079840,NA
453115859,NA
453162869,NA
453163719,NA
453176869,NA
453213159,NA
453237190,NA
453265076,NA
453360869,NA
453591877,NA
453813479,NA
453903213,NA
453982753,NA
453991481,NA
454036484,NA
454064312,NA
457503977,NA
467500922,NA
476280656,NA
477635114,NA
477805634,NA
477871974,NA
477889695,NA
477990568,NA
478039019,NA
478092760,NA
478101587,2582
478188048,NA
478262579,2528
478358476,NA
478441587,NA
478446776,3659
478596547,158
478630668,NA
478635246,NA
478740616,NA
478809767,NA
478827819,NA
478941990,NA
478952070,NA
479026361,455621
479062515,NA
479065765,NA
479094286,NA
479129280,NA
479203259,NA
479206005,NA
479383226,NA
479424830,340
479485625,NA
479574741,1500
479592172,326632
479613432,280
479652125,1000
479727828,NA
479773517,NA
479787400,NA
479971905,NA
479989295,NA
479992893,NA
480023936,NA
480187830,NA
480188408,NA
480231323,NA
480259902,NA
480381318,NA
480413699,NA
480474261,NA
480526078,NA
480542539,NA
480570365,NA
480588458,NA
480704956,NA
480777903,NA
480830744,NA
480863372,NA
480959246,NA
481042802,15651
481141422,NA
481187656,NA
481276996,NA
481389922,NA
481402287,NA
481460871,NA
481480341,NA
481508893,NA
481518140,NA
481541621,NA
481640415,NA
481985315,NA
481986248,NA
482068533,NA
482236528,NA
482446010,NA
482459062,NA
482561883,NA
482578614,NA
482592599,NA
482609922,NA
482656717,NA
482879459,NA
482942794,NA
482994621,NA
483034302,1514
483119350,NA
483279949,NA
483313417,NA
483375549,NA
483377693,NA
483416665,NA
483616637,NA
483646006,NA
483933099,NA
484203500,NA
484225891,1354
484287644,NA
484345863,NA
484348891,NA
484433362,NA
484605951,NA
484648522,NA
484755731,NA
484758727,1800
484765599,NA
484822846,NA
484853882,NA
484854252,NA
484947353,NA
485143952,NA
487636318,NA
487659914,18
487678500,NA
487730368,25620
487751067,1499
487751091,4072
487754616,5234
487976110,NA
487993594,-247
488044215,NA
488057597,NA
488068065,NA
488068834,NA
488185778,NA
488349143,NA
488361486,NA
488372657,NA
488481961,4875
488587718,NA
488599630,NA
488644964,NA
488670613,NA
488681982,NA
488682899,NA
488725896,NA
488795055,NA
488883307,NA
488936246,NA
489113803,NA
489270579,NA
489451880,NA
489677104,NA
489707265,NA
489825158,NA
489919829,NA
489972240,NA
489975458,NA
489983528,NA
490005303,NA
490335379,NA
490342227,NA
490365657,NA
490378783,NA
490387883,NA
490387925,NA
490395928,1600
490471828,NA
490550779,NA
490581535,NA
490586112,NA
490714912,NA
490725900,NA
490843315,NA
490872413,NA
490899556,NA
490905940,NA
490954989,NA
491026480,NA
491039475,NA
491073987,NA
491087318,NA
491113767,NA
491140562,NA
491163879,NA
491182507,NA
491256160,NA
491337168,NA
491350104,NA
491357984,NA
491380200,7200
491684544,NA
491835088,NA
491983672,NA
492060496,NA
492099163,NA
492157359,NA
492478409,NA
492622352,NA
492626536,NA
492629571,NA
492631981,NA
492736228,NA
492842810,NA
492855713,NA
492920210,NA
492952080,NA
492974647,NA
493016760,NA
493028062,NA
493049936,NA
493154017,NA
493197479,59593
493198113,NA
493227029,NA
493269724,NA
493272991,NA
493286850,NA
493317374,37135
493360341,5309
493404511,NA
493430649,NA
493447585,NA
493461305,NA
493482756,NA
493485205,NA
493540090,NA
493542880,1600
493552426,NA
493619902,NA
493764898,NA
493798573,NA
493819759,NA
493825178,NA
493861017,NA
493911051,NA
493954549,NA
494095136,NA
494185325,NA
494243116,NA
494252273,NA
494368814,NA
494850829,NA
494979925,NA
495107898,NA
495122756,NA
495375115,NA
497528810,NA
497645903,NA
497684365,666
497714535,NA
497752535,NA
498063437,NA
498137702,NA
498208644,NA
498233618,NA
498243534,NA
498250513,NA
498364884,NA
498368307,NA
498396647,NA
498519941,NA
498664267,NA
498859073,NA
498865112,NA
498945070,NA
499095578,NA
499104206,NA
499106144,NA
499155497,NA
499494821,NA
499518835,NA
499558807,NA
499748291,NA
499795227,NA
499924181,NA
500004213,NA
500009626,NA
500031919,NA
500034228,2000
500101951,NA
500122296,NA
500124763,NA
500175633,NA
500228168,NA
500239231,NA
500246863,NA
500343280,3833
500440946,NA
500511589,NA
500527924,NA
500528278,NA
500552096,8408
500578364,NA
500664149,NA
500673546,NA
500859814,NA
500892153,NA
501066609,NA
501070486,NA
501193536,NA
501217921,112
501236004,NA
501270433,NA
501322705,NA
501323786,NA
501372726,NA
501420293,NA
501560072,NA
501599336,188
501672786,NA
501695464,-718
501695555,NA
501695795,NA
501696082,NA
501700843,NA
501701056,1000
501701098,690
501701189,NA
501701445,NA
501701544,NA
501701593,NA
501759021,NA
501792527,NA
501897177,NA
501943799,NA
501994941,NA
502083652,NA
502132400,NA
502223498,NA
502257769,NA
502413586,NA
502443070,NA
502494396,NA
502543481,NA
502549843,NA
502575715,NA
502611114,NA
502698186,NA
502742216,435
502825508,NA
502884943,NA
502900996,NA
502942915,NA
502952583,NA
502972284,1889
502980725,NA
503041089,NA
503176885,NA
503288128,NA
503317893,NA
503319477,2500
