siren,Total des produits d’exploitation,Total des produits financiers,Total des produits exceptionnels,Autres produits
391530755,NA,NA,1748,6
391552932,233774,NA,NA,NA
391940731,530212,43999,NA,4
392031902,333287,24091,NA,4
392089967,2126531,13323,NA,7
392359311,NA,NA,3177,161
392371936,NA,NA,3,NA
392414074,2296689,NA,NA,3848
392447587,339140,827,NA,1681
392474862,7952,NA,NA,2
392487062,1191542,NA,NA,NA
392541686,655537,NA,NA,1096
392657714,50269,NA,275,NA
392693784,293656,NA,1880,45000
392710620,122688,NA,373,12
393162565,844997,NA,NA,10
393326673,NA,NA,12218,NA
393410170,17677,NA,NA,1
393578745,94231,6,NA,1
393725452,319771,NA,13399,2709
393938550,293236,NA,300000,94
393940838,NA,NA,NA,16
393941729,363904,NA,12106,7
393945522,494268,NA,8158,NA
394125561,47843,2,NA,19
394188726,532808,3,15000,39471
394395552,NA,140299,NA,NA
394442560,172471,NA,NA,NA
394745202,NA,NA,8824,NA
394746929,233472,2243161,NA,NA
394790430,NA,1685797,506000,12847
395086051,114000,NA,175000,NA
395160617,111570,NA,NA,750
395180177,1152226,NA,NA,6
395187719,186871,NA,NA,160
395293996,217645,56,NA,11
397528803,241265,NA,NA,125
397632159,1047618,NA,11671,28
397932658,NA,NA,12214,11951
398054817,56209,NA,NA,5
398183152,1039050,NA,NA,300
398645663,747935,NA,NA,41835
398686865,NA,NA,NA,NA
398827253,274595,NA,NA,59
398948232,NA,NA,4352,NA
399002997,1822668,NA,NA,NA
399076991,370910829,NA,1271551,32845
399121433,303486,NA,NA,7
399127729,901447,NA,NA,NA
399140961,4724731,112906,6619,5586
399150093,638443,NA,NA,7
399201391,232431,NA,NA,75
399248251,810409,81765,682636,1
399334283,480871,NA,14000,2
399366574,116093,NA,NA,6278
399434612,665754,NA,5104,4214
399714955,291409,NA,55000,NA
399730951,988079,NA,86,964
399742865,174433,NA,NA,1
400013868,241198,NA,NA,2
400096475,602518,NA,32,NA
400132775,747803,106101,NA,1
400160933,384626,NA,NA,NA
400181046,343034,15618,44532,NA
400430047,100870,NA,1547,NA
400752077,2198905,NA,NA,NA
400966834,1310514,6,NA,4251
401007414,163252,NA,NA,3
401268479,115608,NA,598158,2546
401467576,NA,NA,NA,171
401716907,165293,NA,NA,NA
401852777,1080130,5705,NA,3
401904701,117584,NA,NA,86
402065106,79644,NA,NA,1
402170849,NA,NA,NA,NA
402281760,24885933,NA,31491,21162
402281919,201883,NA,NA,NA
402363527,780482,29010,NA,NA
402737936,NA,1010416,1473331,21199
402776322,441106421,527902,1079999,81275
403001431,1692002,NA,NA,4
403461742,6403666,NA,213771,492
403552797,60513,3341,32693,NA
403729197,754357,5625,NA,1
403858848,357930,189,3020,1
404207219,83179,NA,NA,2
404288466,57275,NA,NA,17050
404318800,30791,NA,NA,1
404352122,303223,NA,NA,195
404362097,324309,31180,NA,53
404393076,184767,NA,NA,NA
404525065,NA,536,8194,68
404573511,206140,NA,NA,1
404723611,622981,NA,155,6
405401787,481604,36914,7000,NA
407505924,174463,NA,NA,64
408024115,38744833,809,2686,16768
408035137,NA,NA,NA,NA
408047876,73157,8,NA,NA
408124147,3239718,6137591,NA,25476
408181345,623440,NA,NA,2909
408299816,207248,NA,NA,597
408402485,NA,NA,NA,NA
408865749,632773,NA,NA,5480
408893303,768629,28937,24471,12
408963908,1116148,NA,2898,36355
409142981,6496536,2648,214253,5
409287760,676522,4190,3956,1713
409584406,1331997,NA,NA,10
410102578,407024,901,NA,NA
410127948,88092188,258596,6507878,982789
410288187,24251,NA,NA,1
410410336,23185076,12812,387800,NA
410508014,518237,26,2045,259
410675466,NA,NA,40452,52
410806129,NA,3175,NA,NA
410969943,1862567,5092,NA,2660
410971584,431559,NA,NA,98
411199151,2723252,2767,NA,151
411423957,14325,NA,NA,NA
411473556,212591,14,NA,1122
411486731,40040,NA,NA,NA
411487085,NA,NA,NA,NA
411709017,306091,NA,NA,1107
411918311,NA,NA,1406,17
411959968,NA,NA,NA,NA
412022733,3124225,NA,24440,NA
412128365,867527,1283,1650,15
412163651,1549529,1398,NA,2447
412272601,25084,NA,NA,NA
412524928,738234,861135,NA,738234
412530008,373212,NA,NA,4
412566994,296364,NA,2550,NA
412605362,181489,NA,NA,NA
412628190,509310,685,NA,53
412879306,424029,NA,50,471
412941684,53349,NA,NA,NA
413096546,14843,NA,NA,1
413137936,83597,1861120,NA,1
413142696,NA,NA,NA,NA
413158858,1111909,NA,NA,NA
413511809,144315,NA,NA,NA
413704248,3000,NA,NA,NA
413933458,NA,NA,NA,NA
414089011,5000,NA,NA,NA
414419036,627410,NA,NA,388
414482901,NA,99,NA,NA
414514224,221599,NA,NA,NA
414599506,677749,NA,819,14
414660837,1086249,17781,NA,2
414709774,244403,NA,NA,NA
414807206,NA,NA,42,NA
414946772,157084,NA,947,NA
414980417,3556415,NA,35768,137
417602794,NA,NA,NA,21
417765344,285277,NA,NA,69
417771458,806854,3068,NA,33250
417890134,NA,164,NA,NA
418100285,1288,NA,NA,NA
418267522,153373,NA,NA,1
418366316,656859,NA,11185,16
418489472,NA,NA,9712,64
418510848,98607,2880,NA,9131
418658886,774449,432,11110,35
418875969,661750,NA,NA,61484
419022165,2206029,NA,19162,554
419043492,NA,NA,2,NA
419373055,1143216,NA,NA,4
419591037,-7993,421,NA,3777
419606405,NA,380039,NA,NA
419830617,253375,NA,NA,7459
419833652,7083196,125162,10339,276
419993282,1281448,316,NA,1
420119059,NA,NA,NA,NA
420210577,NA,33,833,6
420259640,411632,569,NA,NA
420310492,148149,NA,NA,10
420377772,30244,NA,NA,NA
420611279,117656,NA,28,30
420623431,249285,NA,NA,5065
420687733,704078,NA,1946,342
420700213,549346,948,NA,784
420776544,18273,NA,NA,NA
420843690,355130,NA,NA,NA
420874133,44919,11728,NA,NA
421292293,487328,1284741,NA,1
421296039,226701,NA,NA,4
421361726,NA,NA,NA,NA
421384470,8497987,NA,2400045,89053
421389453,62188369,76224,15203,46
421401910,172641,NA,NA,NA
421499013,921677,189,1174,11
421632530,197904,NA,NA,NA
421752825,412550,NA,NA,NA
421777624,1623403,NA,628071,45479
421930405,285795,NA,NA,NA
421935099,NA,786,1044,NA
422040790,NA,NA,NA,NA
422068551,85539,NA,126,NA
422114215,76201,NA,NA,1
422274811,2235512,NA,NA,2
422296061,521655,393,NA,12
422336404,822457,NA,NA,895
422588434,272906,535,691,114
422788380,337777,6724,NA,2
422876557,708830,106856,6232,NA
423052026,6463697,1171,6944,944
423419027,287472,NA,1,NA
423437953,5690029,212947,NA,33771
423535764,571138,NA,7034,104
423661560,1684395,3592,2532,671439
423724319,3728575,1935,16601,NA
423762814,14549459,528594,NA,56019
423955004,2875117,3359,1000,3574
423986447,318577,NA,18,1
424009637,NA,60906,NA,NA
424119246,7013140,1106909,99187,567
424190114,180403,NA,NA,623
424231165,1262871,NA,8177,124
424461952,660245,NA,NA,4915
424561603,163268,NA,NA,NA
424631398,140468,NA,NA,NA
424670842,6600,393,2235,NA
424694958,NA,164,NA,NA
424749778,1701177,NA,NA,NA
424758456,84131,168,2768,1
424760353,378967,16,NA,38
424813251,322419,NA,NA,1718
425108859,1358572,NA,NA,106
428131544,123280,NA,2673,9
428166201,2641345,NA,NA,27
