siren,Total des produits d’exploitation,Total des produits financiers,Total des produits exceptionnels,Autres produits
420727034,223028,NA,NA,25
420728073,4493737,42,5000,135
420728206,2752624,76,25240,9776
420728271,466050,575,NA,NA
420729188,1827101,NA,NA,33
420729527,235680,NA,250,2926
420738221,154358,NA,NA,1035
420741407,NA,NA,NA,NA
420743346,926270,NA,1610,33239
420743361,969657,1031,NA,452
420747966,35569,NA,NA,NA
420760225,139976,NA,NA,605
420760688,212701,NA,NA,9071
420761710,502934,554631,946,4
420762452,NA,60492,NA,NA
420763146,127466,NA,7709,12
420763914,650517,NA,NA,585
420764334,88635,NA,NA,1
420768046,979834,363,5700,1857
420771990,NA,142793,NA,NA
420774069,1483083,NA,6394,18
420776544,1601241,NA,NA,NA
420778938,4910833,1014,NA,19
420779886,NA,24,NA,NA
420783383,10493507,1190,516144,92921
420784407,NA,NA,NA,NA
420789943,NA,NA,NA,4
420800492,NA,447262,779537,15116
420802035,176994,NA,NA,NA
420808453,46176678,NA,NA,1783
420809923,540096237,347152,2549073,1032533
420818585,NA,3411492,2369925,NA
420822702,1197379,NA,38634,2
420827040,5245,4081749,NA,5245
420829038,524490,420,NA,121
420830101,NA,13,41557,223
420833410,14137365,1832801,436660,12
420839268,2175334,NA,NA,12
420840357,204001,NA,NA,1
420840381,8402757,20206,33138,19865
420841850,NA,NA,NA,NA
420848780,133610,NA,NA,5
420849127,232497,NA,NA,5
420851263,6830775,588,50926,1288
420851602,224770,NA,NA,1
420853400,687097,NA,NA,17248
420855934,240658,4,NA,14378
420860694,748664,38,23000,13
420860926,339842,NA,NA,6
420862229,1354428,NA,NA,3320
420862450,448696,NA,NA,1
420864886,708740,NA,110,NA
420865008,621104,NA,NA,NA
420865867,755708,NA,15008,-248
420868028,855994,NA,NA,177
420873382,1020193,NA,100,4
420874133,79390,2151,49180,NA
420874877,2884197,9887,3000,402
420876138,435920,NA,20000,NA
420881013,316567,16,NA,8521
420888661,4879507,1808,41,367
420889610,36063,NA,NA,47
420890188,296465,1,NA,32
420890253,NA,486,NA,NA
420890261,320000,NA,NA,NA
420893109,447626,459190,238,16
420895609,399807,5276,316,1
420896276,8257,3205,NA,NA
420897233,NA,NA,NA,NA
420909293,55366078,215763,21061,1
420909723,29296,NA,NA,NA
420910077,394725,-108,5,NA
420911943,778230,NA,NA,1
420912933,2697529,NA,270,811
420916371,301076,NA,6568,4
420930240,18910,58598,NA,NA
420931776,1564017,NA,NA,NA
420933061,1997,NA,NA,NA
420934408,NA,273,NA,NA
420937898,3241912,6563,1845,88
420941361,791738,NA,897,NA
420942849,366800,NA,2715,5
420943318,1095445,NA,18759,39
420947640,NA,2775,NA,117
420948275,984326,815,NA,12
420954562,1167452,NA,7000,8
420956419,17883345,NA,7899,5
420956427,376924,NA,1084,8
420958480,2453035,NA,NA,NA
420967622,226803,NA,NA,8
420967994,181703,NA,NA,8
420973075,3673314,NA,11313,1603
420976938,517109,NA,NA,8
420981052,1168904,211421,2002678,1
420982225,2700787,NA,NA,11
420987547,1226234,NA,246741,5341
420989436,536167,NA,NA,3
420990590,18660433,448818,NA,1057
420994659,-614,NA,NA,6
420995292,5133466,NA,16680,3405
420995417,8343,NA,NA,NA
421000332,435,111450,NA,1
421000852,626190,22,2000,469
421003427,377256,920,NA,3
421005281,261195,NA,NA,15
421009002,959029,388,55000,-13
421010703,NA,246776,NA,NA
421015181,3849913,7576,34640,NA
421022997,93727533,274042,413785,344612
421023151,852250,106,NA,27
421034307,193119,NA,NA,3
421035064,1258800,1146,940,342
421036112,43234154,NA,51815,788
421036674,483695,NA,235,30
421037235,281987,NA,NA,NA
421042870,1403385,1807,NA,275
421054628,34279,7020,NA,7
421055484,1205394,259735,NA,15
421056805,98933,NA,1405,NA
421057647,295301,NA,NA,61
421057829,NA,NA,NA,NA
421058108,412202,NA,NA,2
421061680,75578016,303349,440156,2230
421062068,241697,NA,NA,NA
421066812,1178098,NA,283084,NA
421085333,739202,1205,NA,1058
421090309,94492,NA,NA,NA
421090721,155498,NA,NA,256
421093998,552553,112,NA,NA
421095423,3283484,28918,NA,174
421095597,261505,NA,NA,3
421095639,NA,2445,NA,NA
421102229,NA,NA,NA,NA
421102690,2970519,11439,400,102
421102989,2925,92237,NA,2925
421104001,350770,12,NA,NA
421105263,NA,NA,NA,1
421111378,NA,NA,5991,51
421111618,NA,NA,NA,NA
421113218,2107285,NA,NA,92
421113705,39091,NA,NA,990
421114018,NA,NA,NA,NA
421114109,235889,NA,NA,NA
421114679,4584869,NA,NA,2776
421115858,5341896,513895,348284,6163
421116153,281245,8,258191,NA
421116351,615087,1,1,NA
421116377,960979,14512,21000,21
421122003,492461,6281,16741,7
421128547,3239938,NA,16566,21
421130329,4276637,NA,NA,5575
421131731,1820997,NA,NA,10
421131947,2085419,1138994,NA,NA
421132119,1031075,NA,1335,43
421132804,164209,NA,NA,7
421148966,114727,NA,NA,NA
421150210,1844540,NA,NA,42
421150996,NA,NA,NA,NA
421152273,37950,NA,NA,NA
421154279,NA,NA,NA,1805
421157488,4855922,NA,22114,4
421166315,47309711,66075,NA,2147
421175324,248802,9,4202,NA
421179987,NA,NA,NA,NA
421181173,NA,412,441,4
421182734,347573,NA,1000,3
421184219,2390005,NA,2576,49
421185570,525294,4,NA,7
421185851,NA,NA,18654,NA
421185943,NA,12000,NA,NA
421185992,976848,3,239569,6
421189150,2904941,NA,5742,32
421191966,2288562,3364,NA,1725
421192584,323122,179954,267,NA
421192816,9462587,NA,56298,353
421193277,305332,99876,18000,4
421194077,902645,2125,57583,NA
421195561,60197,603947,224964,22
421197997,4978100,5856,34690,671
421199100,34722873,NA,9705,25326
421200593,2076092,NA,NA,5
421206046,11737052,NA,498495,7
421206087,351854,NA,1538,2
421206251,1610212,NA,NA,57
421216292,195607,NA,NA,1
421218702,914851,NA,26291,443
421221136,2856963,25031,6859,18300
421222571,NA,NA,NA,130
421230517,4315411,2748,4314,16368
421231564,15319,NA,NA,NA
421236563,121973,NA,NA,573
421245978,1744712,NA,NA,NA
421249277,1053561,NA,17893,717
421253717,792053,2433,NA,44
421255035,NA,NA,3225,NA
421255068,30000,NA,NA,NA
421255399,3391159,22927,132788,33
421257338,NA,NA,NA,NA
421257445,452459,596124,4779,1
421258138,7822,NA,NA,2
421258310,48120,NA,NA,NA
421261009,137543,NA,NA,NA
421262874,NA,NA,NA,NA
421263369,NA,NA,NA,2
421263500,10829013,NA,NA,17102
421264607,34210,NA,NA,NA
421264615,340261,NA,NA,3
421265273,1378904,8159,35641,2214
421267337,384361,239640,56,NA
421277534,23807774,116964,NA,68516
421278409,11357001,NA,236238,NA
421279688,16691,NA,NA,14790
421280504,561134,326550,NA,NA
421280637,116693,NA,NA,1
421280702,2509130,NA,NA,2
421286543,NA,507,NA,NA
421286691,NA,NA,4556,NA
421287996,43540,6304889,506,56
421289059,2117949,NA,NA,32203
421291576,320825,NA,600,828
421292293,463546,620974,NA,27
421292913,30750,NA,NA,NA
421295809,169624,NA,NA,855
421296039,310484,NA,NA,4
421298290,2004660,NA,NA,7
421300104,28670738,NA,3639997,51958
421301227,1036755,NA,5888,260
421302175,NA,23653,NA,NA
421302845,140438,NA,NA,494
421304528,700886,72,NA,8429
421306309,105000,NA,NA,NA
421306705,465859,51,NA,NA
421308180,792123,17569,NA,11
421308214,7013814,26310,NA,10
421314006,1042512,2541146,159834,37
421314139,NA,NA,56918,NA
421317264,106754,NA,NA,2
421317553,4062645,NA,6389,255
421321043,NA,NA,NA,NA
421321399,NA,NA,NA,134
421321837,NA,NA,NA,NA
421322058,205236,NA,NA,NA
421326117,3522101,3001965,NA,NA
421329053,2293758,NA,NA,400
421332487,708755,456,300,80
421342171,2306979,48746,NA,NA
421343476,1152711,946,4244488,1048923
421343898,5691241,NA,94100,2140
421348343,3314954,6612,-427,30935
421348434,454532,247,15258,102
421354523,NA,NA,NA,NA
421356023,114059,85145,NA,NA
421357427,710265,NA,5921,1248
421357609,2739500,NA,100,35319
421358144,3262865,NA,10317,3443
421361726,192178,NA,NA,435
421362724,2,NA,NA,2
421368416,624439,NA,7650,720
421373432,1239823,NA,NA,2981
421378076,205233,NA,NA,NA
421378258,512733,208,NA,NA
421380577,NA,3,632,100
421383647,331671,122,NA,3
421384470,12296687,NA,1126684,9291
421385766,508031,NA,NA,1
421388620,337956,NA,86,16
421389453,69934127,37287,63576,1181
421390881,44198,NA,NA,8
421391467,189789,19513564,NA,6516
421392663,NA,NA,NA,NA
421395823,777559,21251,355027,205
421397332,593406,666,NA,9
421397472,553613,279,NA,10
421399973,4889160,1089,NA,8
421400235,NA,230,144314,37
421400474,226004,NA,NA,3
421401431,3676062,NA,24922,42
421402892,658098,NA,NA,153
421404054,3454752,777219,NA,1109
421408063,538815,34,NA,305
421409491,997109,NA,NA,993
421411828,138610,NA,NA,NA
421419565,NA,NA,NA,NA
421419862,660868,360,7500,327
421420282,8941192,NA,42573,12557
421426578,NA,NA,710,8
421427246,24000,NA,NA,NA
421432840,13580,325,4151,NA
421435124,712064,4635,1409,28
421438086,533418,315,23214,415
421440074,823139,NA,18688,576
421445818,2185313,NA,NA,188
421448002,473963,NA,NA,582
421451303,2368990,NA,NA,7331
421452061,33120,NA,NA,NA
421452079,17706907,67225,NA,36816
421453762,1209382,NA,NA,241
421460049,NA,NA,573370,NA
421465410,NA,NA,NA,NA
421468745,406,299540,52,NA
421470865,1828616,714,NA,1462
421476128,174595,NA,NA,25
421477050,2634222,119,918,2
421478645,NA,5658,NA,NA
421479163,10582112,NA,NA,NA
421480930,885279,4916,7171,3630
421484312,20080278,NA,48,NA
421489337,1124115,NA,641,14420
421491408,2540703,40266,NA,19
421492711,NA,NA,NA,NA
421493628,2286401,NA,NA,21
421498254,499421,NA,NA,NA
421503244,49436,17,NA,NA
421504101,1603077,NA,61283,719
421504358,NA,84598,NA,NA
421511114,884917,NA,NA,7
421513946,1671528,NA,NA,NA
421516204,794239,NA,NA,924
421516675,494397,NA,30744,2
421520461,3884112,20,3977,65
421533209,95107,NA,NA,4357
421535261,464738,NA,NA,153
421535576,NA,NA,NA,NA
421537028,4707475,3534,24395,40
421539347,2830996,130,NA,266
421539495,183543,1670,NA,2
421543786,NA,NA,NA,NA
421551698,1536765,NA,NA,NA
421551987,1804045,NA,NA,2427
421556663,76193,NA,NA,NA
421556721,122952,NA,1700,122262
421556879,NA,1,478,390
421561218,NA,NA,NA,415
421564519,205997,NA,NA,NA
421566340,17771066,2,NA,NA
421575150,221773,NA,739,NA
421578444,420465,47609,18,40353
421587593,196207,NA,NA,249
421589276,6309631,NA,133794,9
421590696,10983,NA,NA,NA
421590753,37267,NA,NA,234
421591777,12800376,NA,19313,1004
421593450,896467,NA,650,23
421603879,2929421,250,NA,312
421603978,3855724,NA,167788,315
421616608,719492,NA,NA,1
421620634,121024,NA,NA,NA
421627613,20070,NA,NA,18824
421630146,405187,NA,NA,1
421638362,NA,NA,NA,6
421642992,1984,NA,NA,NA
421645276,256661,NA,NA,NA
421647330,783524,NA,17955,28486
421649674,846027,6298,8894,833
421650144,1086396,NA,2916,291
421651308,783711,3770,NA,5
421654526,201027,NA,NA,NA
421655135,122059,NA,NA,9
421659566,NA,NA,NA,NA
421660036,45665,2,21375,NA
421664384,850108,NA,NA,24
421673708,279442,NA,NA,8
421674342,NA,NA,6837,102
421676958,4433777,NA,19632,295
421677428,979888,NA,60006,1510
421677451,730191,NA,8317,53
421677709,205160,NA,NA,6732
421688904,890985,NA,9364,1
421693722,703110,NA,6678,15685
421694969,451112,1164,4200,19
421695511,NA,NA,NA,2
421703729,851883,NA,5961,NA
421708504,11619050,4051,409,24781
421709700,1175637,NA,5833,53387
421714999,362827,NA,NA,1846
421735309,1217,NA,9,1
421736042,387739,1,2,531
421742982,903778,180,200,840
421743634,1297404,NA,NA,20719
421744699,126567,NA,5050,49
421753542,NA,NA,NA,NA
421757261,263605,NA,6303001,63
421758376,921682,225,16472,500
421764226,7606991,2154,NA,1
421765520,1315345,NA,NA,82
421768821,NA,20827,NA,NA
421773466,340461,NA,NA,NA
421776394,227948,NA,2474,NA
421777624,1496396,NA,900187,872
421780370,422416,334,NA,5318
421782624,941425,1921,11602,138
421782673,33610,NA,NA,2980
421786047,6457279,453,6897,603
421789348,NA,1,NA,1
421794926,138585,NA,2374,3240
421795360,2811630,NA,NA,10527
421796939,2068941,NA,NA,9020
421798505,896376,NA,NA,1
421801416,1505712,NA,NA,NA
421801473,72113,NA,3593,4909
421802331,239424,NA,NA,3
421802372,608392,NA,315,104
421806050,2532801,NA,23726,NA
421808742,NA,NA,NA,NA
421809385,960695,467,1056908,246
421811852,30867,NA,NA,31
421814039,974072,949,35,NA
421818519,1035632,NA,NA,NA
421821109,222911,NA,NA,417
421827585,1400713,NA,75218,6601
421827676,8388657,9909,5202,3840
421827684,261017,NA,NA,2
421827783,9855713,9151,5474,1920
421830845,30734,NA,NA,2
421834185,287195,NA,NA,20
421838269,1522523,NA,NA,507
421840349,926870,NA,NA,35
421840968,233469,NA,NA,32
421842477,12136,NA,NA,NA
421844820,NA,732,NA,269
421848359,NA,NA,4591,2
421850108,557505,15731,775,64
421852781,NA,567,123,NA
421855867,282882,NA,NA,NA
421862723,706461,14695,151000,NA
421865692,969757,2077,2323,102
421868456,40422,16,NA,NA
421875352,3939772,14099,13125,11
421882127,NA,41153,NA,NA
421882176,48543,NA,NA,43
421882283,725882,4499,5523,NA
421882440,6990241,1344,93551,1359
421883299,224437,NA,NA,1693
421883489,837186,NA,NA,59
421893686,819780,NA,NA,1180
421894221,2972226,19597,122574,NA
421895251,3763069,572,7075,3206
421897380,181724,NA,NA,38
421899303,175266,NA,NA,NA
421899618,478772,16,387,1
421905514,7142798,128,NA,237
421907981,1846796,23424,NA,2
421908054,348797,NA,160,11
421914391,NA,NA,NA,NA
421914797,5207488,NA,7061,55
421918160,298518,3,NA,4
421919135,NA,NA,NA,NA
421921875,7042208,1045,341904,3
421922584,223940,NA,NA,47
421924218,340630,NA,NA,NA
421925694,179929,NA,NA,23
421937020,512817,NA,NA,56
421939919,226008,NA,NA,1
421943960,96408,NA,NA,1
421947367,NA,14,5572,NA
421950460,103382,NA,NA,NA
421950809,428199,NA,NA,1
421957614,191213,NA,NA,NA
421961814,NA,NA,NA,NA
421969189,943471,NA,6311,1
421972555,18888,NA,6265,8
421973181,1235111,2645,NA,NA
421975574,NA,NA,NA,1
421982398,180925,NA,NA,NA
421988387,1696117,NA,NA,NA
421988858,9836735,772,NA,3824
421990334,68035,NA,NA,NA
421992892,182914,NA,NA,NA
421997081,119385,NA,43036,2
421997669,1030569,7803,8417,NA
422003517,1832128,NA,8787,142
422005710,246371,NA,NA,NA
422005736,233583,NA,NA,NA
422016568,383870,NA,3333,14
422020818,420570,NA,NA,1761
422021360,148707,NA,NA,19
422022897,6373,445,50000,5
422023267,542018,7,4401,10926
422036236,20669,NA,NA,NA
422037127,3347091,930,4,NA
422038778,1643850,214,49182,2
422039412,2576310,385,54355,NA
422040915,246632,416366,NA,41
422041426,23588938,NA,748787,186
422042002,169684,9,NA,NA
422043331,1895145,NA,NA,177
422043869,1990564,17547,NA,2689
422044693,NA,1,NA,69
422051185,448100,NA,NA,23
422052159,405513,NA,NA,NA
422058321,985439,NA,NA,NA
422068379,715390,410366,NA,36
422069526,104359,NA,NA,3
422071068,2291743,455,11548,1816
422078550,464078,13,2513,NA
422081323,2562352,174,NA,2335
422082602,245124,25,4622,52
422083386,77207,NA,788,2
422086926,8456060,NA,62219,NA
422088971,715396,20000,1,2588
422089292,NA,488353,NA,NA
422092817,28203528,102177,NA,158496
422093187,76863,NA,12380,10
422095596,276485,NA,NA,24064
422097741,324000,85500,11,NA
422098137,265120,NA,NA,322
422102137,NA,NA,NA,NA
422106294,NA,12534,NA,2
422113118,175400,NA,NA,NA
422114074,4418119,NA,NA,3018
422114215,108240,NA,NA,NA
422117143,2029727,NA,NA,79
422125369,2305192,NA,NA,NA
422125500,570,NA,NA,NA
422126706,680742,NA,62388,306
422127589,6910383,168167,93996,185
422128306,NA,NA,1031,NA
422133876,167444,NA,NA,NA
422138537,NA,NA,NA,NA
422140830,2142841,342,NA,NA
422145219,600,NA,NA,NA
422147223,1562884,NA,NA,247
422149443,1719652,83850,2,4930
422161208,408541,390,1960,8
422161661,1009935,25319,25534,NA
422162800,3424587,19258,20227,NA
422166603,15017218,1307,89648,17363
422168385,2056907,NA,NA,1
422168906,NA,NA,NA,NA
422168997,68520,NA,59308,NA
422174920,262117,10268,NA,NA
422177832,398005,NA,NA,7
422182303,1508139,3469,NA,81
422183277,1138289,1488,1858,NA
422190934,583327,4721,14620,78
422193128,NA,NA,NA,1
422194167,118277,NA,NA,NA
422194811,NA,504410,NA,NA
422203554,3668647,NA,270,5
422206557,52594,NA,NA,NA
422208678,2880,NA,30,NA
422217976,482728,NA,NA,NA
422218586,819609,NA,4472,918
422220194,62787,284,NA,2965
422225664,1059773,NA,NA,41
422228445,68013,NA,NA,58
422233684,72584175,2,NA,126
422234229,9494883,NA,2053,1030
422238592,NA,3,NA,NA
422243022,776711,10801,5016,2581
422248112,332055,26,NA,35
422253724,288806,NA,13090,8
422259812,4181684,NA,10584,1002
422263194,217189,NA,NA,8
422273409,8180698,2162,1298,NA
422273607,4665969,145,335,20
422274670,NA,1414,NA,10
422279067,1335219,NA,71077,1277
422281618,435301,NA,NA,NA
422286096,161345,NA,9,NA
422289249,2299023,NA,NA,409
422296244,4918297,8,55480,6783
422304089,NA,NA,30038,9
422307199,34931761,143579,24094,27417
422309179,1410400,NA,NA,NA
422309310,2597480,NA,NA,642
422314005,985699,NA,24687,18
422316497,NA,NA,NA,2667
422320119,105885,NA,NA,551
422322214,NA,NA,NA,NA
422322461,3000,12000,NA,NA
422326835,2535968,NA,8,NA
422335349,16552747,NA,NA,1594
422336404,764027,NA,6561,4
422337378,NA,21,93,16
422338418,NA,34,NA,2
422340315,NA,NA,21400,NA
422342535,962399,603,16,6
422343913,1419354,NA,NA,23
422345264,1086871,NA,1314,1992
422346015,21542,NA,NA,NA
422347054,837101,NA,NA,3483
422347831,NA,NA,NA,4192
422351338,1552507,NA,NA,9647
422352641,8683,NA,NA,1
422353920,2744812,NA,NA,251
422354621,NA,1227,NA,8694
422356550,631032,23,NA,18
422358960,545975,406185,NA,5
422359596,109935,NA,2000,658
422359935,437773,1,NA,NA
422362426,4936274,2507,94317,1725
422363358,192406,NA,NA,NA
422364315,199816,NA,NA,1030
422365387,1520266,NA,NA,763
422367979,6766,NA,NA,NA
422377119,180510,NA,NA,2
422382432,NA,3361,NA,NA
422385757,246305,NA,NA,NA
422386011,6107,NA,NA,NA
422387092,51524,NA,NA,91
422388611,8058627,7401,328106,460
422391748,867946,1244,NA,NA
422391904,88740,19,NA,6
422392043,1785455,52,NA,17
422396812,NA,1426,NA,NA
422399865,150,NA,NA,NA
422404525,NA,NA,NA,NA
422412510,129346,NA,NA,520
422412676,700534,1943,NA,55
422413625,166120,NA,NA,NA
422428300,18293,NA,NA,NA
422429787,NA,NA,NA,12
422433169,1654966,NA,NA,1
422433847,824345,3839,NA,1
422436428,NA,NA,NA,NA
422438820,NA,3,NA,NA
422440438,2210689,64151,NA,385
422445882,7609893,1665,4932,342105
422446716,2943190,13,1000,425
422452235,5000,NA,575,NA
422460501,1,NA,382,1
422460642,61751,55,353500,NA
422461483,110673,NA,83178,201
422463505,2613324,NA,3880,129
422464313,4523682,4993654,1682,12
422465427,745079,NA,2844,41
422466953,4528788,NA,NA,4
422467621,2092368,2560,NA,59
422471060,250648,205,17,NA
422474346,1723788,NA,NA,50
422476317,4796297,3706,46207,1790
422482547,144900,NA,NA,NA
422483701,814483,1556,1475,NA
422485490,658685,NA,16531,NA
422486324,1655387,NA,7968,NA
422487330,921170,1505184,NA,1
422491654,NA,NA,NA,834
422495226,1095754,NA,14227,22917
422503383,278260,4,208400,361
422503904,8619,NA,63910,3
422505719,451199,NA,13000,4
422511980,621102,NA,NA,2321
422515254,226834,NA,NA,723
422519587,2328583,119855,NA,NA
422523266,97840,30000,10295,NA
422527010,122647,NA,88535,NA
422533349,787726,102,637,3
422541789,NA,NA,NA,NA
422542019,NA,NA,NA,NA
422542894,12696950,12486,50856,68
422546861,2935491,1681,3878,13
422548180,101470,NA,NA,NA
422551051,184204,NA,NA,829
422555284,NA,NA,NA,1
422555664,3618943,1994,3500,269
422556316,NA,NA,NA,NA
422560862,137889,NA,NA,29
422563395,83685,NA,NA,NA
422568360,NA,NA,NA,NA
422571786,302500,NA,NA,NA
422572206,5210688,NA,4032,430
422573170,864926,NA,1037,1
422575357,730904,NA,4244,67
422575654,57242,NA,NA,NA
422578070,11683,NA,NA,5
422578401,650136,12597,NA,22
422579334,4107527,36263,33947,55
422580449,NA,8399,1180,NA
422582056,44390,NA,NA,NA
422585398,NA,NA,NA,1448
422588285,6814517,1145,6615,3500
422590695,746332,NA,NA,499
422595488,286217,NA,NA,2
422596353,28393621,299860,NA,NA
422599555,NA,5462,NA,NA
422606467,186671,NA,NA,2
422607408,3153235,146,14686,33620
422613356,557785,NA,NA,4
422614800,NA,NA,19549,NA
422624023,2252144,NA,NA,12643
422625780,NA,22,640,74
422627661,299668,NA,NA,NA
422632513,6705981,8788,4433,29944
422637827,1231211,NA,NA,1
422640383,NA,NA,8420,NA
422641829,96330,NA,NA,82
422655365,3475746,NA,1568,483
422656603,201061,NA,NA,NA
422657551,NA,4,6868,NA
422663104,1475490,307121,NA,961
422668129,178334,NA,NA,NA
422668954,3125797,960,262,NA
422672097,353939,NA,16693,144
422679480,1590983,NA,NA,NA
422680421,2049753,NA,NA,67
422680884,3147,NA,NA,NA
422681486,NA,865,NA,NA
422684753,458722,NA,NA,NA
422689885,NA,NA,6143,NA
422693176,NA,137686,36849,163029
422694216,29314,NA,NA,NA
422700914,218251,NA,NA,1
422704536,692072,765,11,9
422704627,666447,500,11908,30
422704932,1906865,NA,NA,8
422705913,1076531,23,177428,634
422706739,NA,NA,NA,NA
422707810,NA,NA,NA,NA
422713545,739893,225,65857,NA
422716464,428771,NA,NA,NA
422716605,253463,1,4639,8
422716878,NA,59622,209857,19501
422717496,3259987,749,6250,NA
422719591,180004,NA,NA,4
422722728,97535,NA,NA,NA
422726299,329567,NA,3497,6
422730366,74892,NA,NA,NA
422732693,59103,313,301000,10194
422736702,NA,NA,NA,3556
422737684,249878,NA,NA,NA
422739326,13718232,256,7930,310878
422740480,NA,NA,5130,748
422740670,4771135,22598,7259,NA
422742742,NA,60919,NA,NA
422745364,201649,NA,NA,2
422747881,127399,7,NA,1
422748145,2515118,NA,2784,455
422755629,1067295,NA,136,NA
422762328,169373,NA,7500,1077
422767061,736640,3845,1613,3
422770370,664618,NA,NA,2593
422771188,129907,NA,NA,50
422772384,707221,NA,NA,10
422773655,162870,NA,NA,1799
422774521,90290,NA,NA,1013
422781153,38198,NA,NA,NA
422786566,NA,NA,16383,1512
422788364,10000,NA,229,NA
422788380,NA,3163,NA,NA
422788851,196572,NA,NA,6023
422793398,NA,NA,NA,NA
422796383,596340,3161789,NA,NA
422796524,NA,NA,NA,NA
422802314,129666,NA,NA,NA
422811224,373152,NA,1780,83
422811877,2007734,NA,NA,707
422820779,6192122,23337,32487,NA
422824532,183000,NA,NA,NA
422825109,120000,NA,4483,NA
422825232,190675,NA,NA,NA
422825406,575726,2,4872,NA
422829226,105670,4,39506,25928
422830232,224171,3,NA,1
422830323,18244142,1436662,5774,55250
422830778,2312634,NA,10697,56
422839498,432256,584239,NA,NA
422839563,382940,NA,NA,426
422841163,557681,NA,NA,5
422843441,10583635,NA,28582,397
422847533,330291,13000,NA,6
422847897,1390235,NA,NA,818
422850081,NA,NA,NA,32
422852962,487210,27091,NA,NA
422853184,176806,NA,NA,1
422853986,315560,NA,NA,728
422854240,1807125,1254,93036,46
422854679,14461360,NA,7923,NA
422858399,NA,NA,NA,NA
422858506,492367,6463,8274,11
422860510,432922,NA,36970,4
422863357,NA,NA,NA,NA
422869511,182,NA,529,182
422872564,17676116,98109,NA,900
422876383,26525953,NA,NA,49684
422876441,1331084,NA,5160,30
422878900,897758,1641,NA,6
422879262,237633,NA,NA,307
422879270,342217,NA,615,1049
422880443,348844,NA,780,7
422880450,515762,NA,NA,1438
422885772,4220854,64,NA,41
422887141,164041,NA,NA,5
422887489,3589338,37571,7072,10
422890558,NA,37723,NA,NA
422900811,1097997,NA,20,NA
422906313,1697409,NA,NA,3102
422913731,NA,NA,NA,NA
422915991,2856069,110297,763,471
422921395,16912041,NA,NA,506
422924365,70454,NA,3730,1
422925172,1991239,1444,NA,NA
422927368,NA,NA,NA,NA
422928580,162001,NA,NA,1
422929356,877846,44235,NA,1
422929752,6611217,2535943,9000,NA
422930198,1020828,NA,NA,428
422930487,26788,NA,NA,NA
422935130,563757,253,NA,200
422936336,3354328,4,NA,5003
422939553,NA,4522,NA,NA
422945725,1041123,NA,3273,11
422948018,2523111,10993,NA,729
422949412,542194,NA,NA,2
422952564,172161,NA,NA,92
422956219,9284229,NA,NA,12
422956730,981952,NA,574,130
422964783,9413803,NA,NA,2224
422972406,194257,NA,NA,9
422977140,603082,1800,652,979
422979419,NA,1324,17017,2839
422981639,NA,NA,NA,NA
422984443,4736736,230,1002,828
422991927,257266,NA,NA,4
423004589,877839,99920,NA,3
423007897,752024,NA,NA,5
423012830,650539,11,1253,36
423014182,3000,NA,NA,NA
423014349,33432,200,16450,NA
423021484,141823,NA,NA,4
423021757,144804,12,NA,NA
423023464,644612,NA,33623,1995
423026459,1144453,NA,7702,NA
423029990,63257,81,2192,NA
423033638,16820814,NA,996262,11343
423036417,438180,NA,436,74
423040120,165310,NA,NA,NA
423040880,NA,NA,NA,20
423043306,NA,NA,NA,NA
423052026,8129967,17112,72469,4440
423056142,1487681,NA,5000,2
423076900,33736,NA,NA,91
423081462,98945396,30496,1203750,3163
423083690,NA,NA,NA,9383
423087204,5158437,NA,500,358
423088178,422216,441419,657,5
423088889,271032,NA,NA,17
423091347,33483,NA,NA,NA
423092105,333866,2845,4872,NA
423092436,89853,351000,NA,3
423093459,25739591,483079,NA,2371
423094598,790727,4153,NA,NA
423095645,4,826,NA,4
423098540,136300,NA,NA,34
423102433,NA,11835,37,5720
423103076,665587,NA,NA,596
423103571,4264063,149,153017,760
423103639,5186420,NA,NA,24
423105212,2356449,11513,4436,NA
423107952,81768,216,NA,196
423108158,1134919,NA,NA,4
423112085,727146,1134041,33916,NA
423113083,752663,NA,19758,170
423118702,328209,8,1761,NA
423120062,4288,NA,NA,NA
423121680,844271,24,428,65
423126291,92527,NA,115,596
423126929,NA,NA,50000,633
423131655,21261,NA,NA,NA
423133057,1726118,NA,NA,45850
423133255,378383,25,NA,2
423137199,2405,NA,NA,2405
423137801,NA,NA,NA,NA
423138841,862172,14,4423,49
423142983,635813,NA,NA,NA
423143205,66122,NA,NA,NA
423144591,640734,NA,882,63
423151133,46248,NA,NA,NA
423151497,149555,NA,NA,334
423153824,73621,3,NA,NA
423155233,2002676,949,NA,7877
423162239,1021564,NA,251,NA
423162882,33192868,99285,198428,1562
423163567,9828015,271,526362,8
423169937,NA,37210,NA,NA
423177021,NA,NA,NA,NA
423177047,6930493,NA,NA,1038
423178227,NA,31,NA,NA
423179829,876845,5053,2770,2
423185420,600945,2745,1421,4757
423190792,8950762,NA,850,1875
423192905,NA,200997,NA,NA
423202837,41740,NA,NA,NA
423204452,1168047,NA,6303,118
423204536,NA,808,NA,276
423207851,358641,203,NA,59
423213313,NA,143,19212,1
423213917,24440704,NA,60000,224
423214188,611766,NA,NA,NA
423215169,163663,NA,NA,6
423217389,388402,NA,NA,6
423218064,5504371,49,NA,-323
423220078,99834,NA,2,NA
423221514,784271,NA,NA,1402
