siren,denomination,postal_code,town,ape
300644838,ETS DEWAS - ITALIQUES,59260,HELLEMMES LILLE,4761Z
300747391,SARL J M,92220,BAGNEUX,4759A
300817087,AGENCE BOURGOGNE PUISAYE,89130,TOUCY,6831Z
300822772,MANCHINOX,50800,VILLEDIEU LES POELES,2893Z
300862562,AUTOMOBILES ALFRED BOOS,87000,LIMOGES,4511Z
300961356,FONCIA SOVIM,87000,LIMOGES,6831Z
300962180,DOMAINE DE L ARGENTEIL,22100,QU,5510Z
300990306,CHAUFFAGE SANITAIRE DABERNAT,02400,BRASLES,4322B
301009940,SETEC VIGNOLLES,78710,ROSNY SUR SEINE,4399E
301030938,DU CHATEAU DE LA CONSTANCE,06800,CAGNES-SUR-MER,6820B
301099537,AMMERAAL BELTECH S.A.S.,59113,SECLIN,4669B
301164315,SOCIETE COOPERATIVE AGRICOLE LAITIERE DE LA CHAPELLE RAMBAUD,74800,LA CHAPELLE-RAMBAUD,0000
301166138,CHARLES PERROUD SAS,69210,LENTILLY,3212Z
301171013,CERVIONE VACANCES LE CAMPOLORO,20221,CERVIONE,5520Z
301171138,ENTREPRISE BOISDRON ET BOUTY,16300,BARBEZIEUX-SAINT-HILAIRE,4399C
301171435,CLINIQUE SAINT ANTOINE,20200,VILLE DI PIETRABUGNO,8610Z
301222378,CAPRI,75008,PARIS,6910Z
301239661,SOCIETE DE CONSTRUCTION ET DE LOCATION,95220,HERBLAY,4399C
301242178,INTERCOMPTA,06703,ST LAURENT DU VAR CEDEX,6920Z
301271565,APPLICATION POUR L'UTILISATION RATIONNELLE DE L'ENERGIE - AP,11700,PUICHERIC,4669B
301310645,SOCIETE D'EXPLOITATION DALBERT,92150,SURESNES,4771Z
301330486,SOFINA,75015,PARIS,6420Z
301340873,TRANSPORTS ETABLISSEMENTS TARTARIN T.E.T.,86310,SAINT-GERMAIN,4941A
301392304,GENERALE D'ANTI POLLUTION RECHERCHES APPLICATIONS PROCEDES G,95250,BEAUCHAMP,7112B
301420469,TEXDECOR,59780,WILLEMS,4673B
5450119,LE GRAND CAFE ET GASSENDI,04000,DIGNE-LES-BAINS,5630Z
5720651,RENE DUFOUR,69002,LYON,6820B
5750377,GARAGE GIRAUD,04000,DIGNE-LES-BAINS,6820B
5750583,"SERVICES , ASSISTANCE, ET TRANSACTIONS AUTOMOBILES",04400,BARCELONNETTE,4730Z
6280309,COMPTOIR ATLANTIQUE DONGEOIS DE DISTRIBUTION ET D 'APPROVISI,44480,DONGES,2363Z
6850234,ETABISSEMENTS GARCIN FRERES,04210,VALENSOLE,4621Z
7080260,SAINT NAZAIRE DISTRIBUTION,44600,SAINT-NAZAIRE,4711D
7120066,SOCIETE LECLERC IMPRIMERIE,80100,ABBEVILLE,1812Z
15650807,COMPTOIR DU MATERIEL,21800,SENNECEY LES DIJON,4531Z
15850944,AGIR TECHNOLOGIES,21220,GEVREY-CHAMBERTIN,2573B
16750564,CABINET BELIN,21000,DIJON,6820B
17050220,SOCIETE PAUL ROSA ET FILS,21460,EPOISSES,4211Z
17150921,BORDE JOAILLIER,21000,DIJON,4777Z
17150947,FAGOT IMMOBILIER EN ABREGE : FAGIM,25370,LES HOPITAUX NEUFS,6831Z
24038010,OCCAS' AUTO,97600,MAMOUDZOU,4532Z
24056137,SOCODIS,97600,MAMOUDZOU,7112B
24066193,SMCI GROUPE CAILLE,97600,MAMOUDZOU,4511Z
24068462,MAYOTTE VOILE SARL,97660,BANDRELE,5510Z
24085953,COMABRIC SAS,97600,MAMOUDZOU,4752B
25880626,S.E.I.A. REDIEN ET FILS,79000,NIORT,4669A
27280296,STOCKEURS AGRICOLES DE L OUEST,79190,SAUZ,5210B
35620582,LA BOURRIDE,06600,ANTIBES,5510Z
35620657,EXPLOITATION DU LYS HOTEL,06160,JUAN-LES-PINS,5510Z
35621226,HOTEL JOSSE,06600,ANTIBES,5510Z
35720036,CAMP DU LOUBET,06270,VILLENEUVE-LOUBET,6311Z
35720085,IDEAL HOME,06600,ANTIBES,4754Z
35720523,GROUPE SAINT JEAN,06800,CAGNES-SUR-MER,6420Z
35820547,TRANSPORTS DE VILLENEUVE LOUBET,06270,VILLENEUVE-LOUBET,4939A
36820348,RIO FRANCE,06160,JUAN-LES-PINS,4764Z
36920643,AZUREENNE DE FOURNITURES POUR L'AUTOMOBILE LA MARINE L'INDUS,06800,CAGNES SUR MER,4531Z
36921146,ENGRAIS PASSERON,06220,VALLAURIS,2015Z
37020252,TRANSPORTS ECLAIR MONTAGNE,06270,VILLENEUVE-LOUBET,4941A
37150182,RAVOYARD HOLDING,39380,VAUDREY,6420Z
37221447,KRYS OPTIQUE,06600,ANTIBES,6820B
37322062,FONCIA C.G.I.,06600,ANTIBES,6832A
45780566,SOCIETE HYDRO ELECTRIQUE DE GOTEIN,65320,GARD,3511Z
45980091,SOCIETE HYDROELECTRIQUE D ENERGIE,64400,SAUC,3511Z
46550372,CONSTRU,59500,DOUAI,4332B
46720124,AJACCIO DIESEL,INCOG,ROUTE DE MEZZAVIA 2C167 AJACCIO,4511Z
47120019,JEAN FORCONI SA,20137,PORTO-VECCHIO,4711F
47220256,HOLCAR,20290,BORGO,7711A
47250444,MARBRERIE DIRSON,59490,SOMAIN,9603Z
47320114,ENTRETIEN ET COULEURS,20090,AJACCIO,4334Z
54390505,BOLE CONSULTANCE,97600,MAMOUDZOU,6420Z
54801824,SOCIETE MARITIME ET INDUSTRIELLE,13008,MARSEILLE,4669B
54802293,CINEMA TELEC SERVICE,13011,MARSEILLE,3320D
54805577,SOCIETE ANONYME SAINT ROCH,13011,MARSEILLE,8610Z
54807250,COULET,13012,MARSEILLE,1089Z
55500979,TISSAGES DENANTES,38500,VOIRON,1392Z
55503254,CAFFE TREVI,38000,GRENOBLE,5610A
55801039,VARJAN,13002,MARSEILLE (2E),4624Z
55802052,DAVID LOUDER,13008,MARSEILLE,9602A
55806673,LA BASTIDE,13011,MARSEILLE,8610Z
55808034,COMPTOIR PHOCEEN DU CUIR,13001,MARSEILLE,4624Z
55808224,BROSSERIE JEANNE D ARC,84000,AVIGNON,3291Z
55809404,INTRAMAR SA,13315,MARSEILLE CEDEX 15,5224A
55809602,GEORGES S DARAS,13001,MARSEILLE 1,4638B
55811996,SOCIETE LA FERMIERE,13400,AUBAGNE,1051A
56801053,FINANCIERE ET FONCIERE DU FROID,13008,MARSEILLE,6810Z
56801848,SOCIETE DE RESTAURATION DES GOUDES,13008,MARSEILLE (8E),5510Z
56802218,SOCIETE FRANCAISE DES RIZ DE CHOIX,13012,MARSEILLE,1061B
56802499,SA FOIRE INTERNATIONALE DE MARSEILLE,13008,MARSEILLE,8230Z
56803000,ENTREPRISE MARION,13009,MARSEILLE 9,4312B
56803919,PHOCEENNE OSE,13015,MARSEILLE,9522Z
56808462,CARRIERES DU CLOS,13013,MARSEILLE,0811Z
57801342,SOCIETE DES PRODUITS BONHOME ANCIENS ETABLISSEMENTS CASTIE E,13314,MARSEILLE CEDEX 15,6820B
57803405,LENOU,13012,MARSEILLE (12E),4771Z
57803660,SOCIETE PROVENCALE DE GESTION D ASSURANCES MONIN & CIE,13001,MARSEILLE,6622Z
57804684,STE DES GRANDS HOTELS DU PORT,13002,MARSEILLE (2E),5510Z
