ape,ape_name,ape_len,ape_division,ape_groupe,ape_classe,ape_sous_classe
4730Z,Commerce de détail de carburants en magasin spécialisé,5,47,473,4730,4730Z
2562B,Mécanique industrielle,5,25,256,2562,2562B
2363Z,Fabrication de béton prêt à l'emploi,5,23,236,2363,2363Z
4674A,Commerce de gros (commerce interentreprises) de quincaillerie,5,46,467,4674,4674A
6831Z,Agences immobilières,5,68,683,6831,6831Z
4511Z,Commerce de voitures et de véhicules automobiles légers,5,45,451,4511,4511Z
4669A,Commerce de gros de matériel électrique,5,46,466,4669,4669A
6820A,Location de logements,5,68,682,6820,6820A
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
6311Z,"Traitement de données, hébergement et activités connexes",5,63,631,6311,6311Z
6420Z,Activités des sociétés holding,5,64,642,6420,6420Z
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
4110D,Supports juridiques de programmes,5,41,411,4110,4110D
8610Z,Activités hospitalières,5,86,861,8610,8610Z
4331Z,Travaux de plâtrerie,5,43,433,4331,4331Z
4764Z,Commerce de détail d'articles de sport en magasin spécialisé,5,47,476,4764,4764Z
4531Z,Commerce de gros d'équipements automobiles,5,45,453,4531,4531Z
2313Z,Fabrication de verre creux,5,23,231,2313,2313Z
5530Z,"Terrains de camping et parcs pour caravanes, véhicules de loisirs",5,55,553,5530,5530Z
6420Z,Activités des sociétés holding,5,64,642,6420,6420Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
4669B,Commerce de gros de fournitures et équipements industriels divers,5,46,466,4669,4669B
8610Z,Activités hospitalières,5,86,861,8610,8610Z
4624Z,Commerce de gros (commerce interentreprises) de cuirs et peaux,5,46,462,4624,4624Z
5224A,Manutention portuaire,5,52,522,5224,5224A
8230Z,"Organisation de foires, salons professionnels et congrès",5,82,823,8230,8230Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
9311Z,Gestion d'installations sportives,5,93,931,9311,9311Z
8559B,Autres enseignements,5,85,855,8559,8559B
4777Z,Comm. détail d'articles horlogerie & bijouterie (magas. spéc.),5,47,477,4777,4777Z
5610C,Restauration de type rapide,5,56,561,5610,5610C
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
4673A,Commerce de gros de bois et de matériaux de construction,5,46,467,4673,4673A
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
4634Z,Commerce de gros (commerce interentreprises) de boissons,5,46,463,4634,4634Z
8610Z,Activités hospitalières,5,86,861,8610,8610Z
4773Z,Commerce de détail produits pharmaceutiques (magasin spécialisé),5,47,477,4773,4773Z
4773Z,Commerce de détail produits pharmaceutiques (magasin spécialisé),5,47,477,4773,4773Z
6619A,Supports juridiques de gestion de patrimoine mobilier,5,66,661,6619,6619A
4690Z,Commerce de gros (commerce interentreprises) non spécialisé,5,46,469,4690,4690Z
2041Z,"Fabrication de savons, détergents et produits d'entretien",5,20,204,2041,2041Z
8230Z,"Organisation de foires, salons professionnels et congrès",5,82,823,8230,8230Z
6622Z,Activités des agents et courtiers d'assurances,5,66,662,6622,6622Z
5520Z,Hébergement touristique et autre hébergement de courte durée,5,55,552,5520,5520Z
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
4520A,Entretien et réparation de véhicules automobiles légers,5,45,452,4520,4520A
1107B,Production de boissons rafraîchissantes,5,11,110,1107,1107B
4511Z,Commerce de voitures et de véhicules automobiles légers,5,45,451,4511,4511Z
4759A,Commerce de détail de meubles,5,47,475,4759,4759A
4616Z,"Interm. comm. textiles, habillt, fourrures, chaussures & art cuir",5,46,461,4616,4616Z
2341Z,"Fabrication d'articles céramiques à usage domestique, ornemental",5,23,234,2341,2341Z
5224A,Manutention portuaire,5,52,522,5224,5224A
1102A,Fabrication de vins effervescents,5,11,110,1102,1102A
2830Z,Fabrication de machines agricoles et forestières,5,28,283,2830,2830Z
4644Z,"Commerce de gros de vaisselle, verrerie et produits d'entretien",5,46,464,4644,4644Z
4759A,Commerce de détail de meubles,5,47,475,4759,4759A
4649Z,Commerce de gros d'autres biens domestiques,5,46,464,4649,4649Z
4661Z,Commerce de gros (commerce interentreprises) de matériel agricole,5,46,466,4661,4661Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
7112B,"Ingénierie, études techniques",5,71,711,7112,7112B
3109B,Fabrication autres meubles & industries connexes de l'ameublement,5,31,310,3109,3109B
4941B,Transports routiers de fret de proximité,5,49,494,4941,4941B
4531Z,Commerce de gros d'équipements automobiles,5,45,453,4531,4531Z
2223Z,Fabrication d'éléments matières plastiques pour la construction,5,22,222,2223,2223Z
4673A,Commerce de gros de bois et de matériaux de construction,5,46,467,4673,4673A
2511Z,Fabrication de structures métalliques et de parties de structures,5,25,251,2511,2511Z
4641Z,Commerce de gros (commerce interentreprises) de textiles,5,46,464,4641,4641Z
4752B,"Comm. détail de quincaillerie, peintures et verres (mag.> 400 m2)",5,47,475,4752,4752B
4321A,Travaux d'installation électrique dans tous locaux,5,43,432,4321,4321A
1729Z,Fabrication d'autres articles en papier ou en carton,5,17,172,1729,1729Z
4322A,Travaux d'installation d'eau et de gaz en tous locaux,5,43,432,4322,4322A
3250A,Fabrication de matériel médico-chirurgical et dentaire,5,32,325,3250,3250A
4771Z,Commerce de détail d'habillement en magasin spécialisé,5,47,477,4771,4771Z
5530Z,"Terrains de camping et parcs pour caravanes, véhicules de loisirs",5,55,553,5530,5530Z
4761Z,Commerce de détail de livres en magasin spécialisé,5,47,476,4761,4761Z
4759A,Commerce de détail de meubles,5,47,475,4759,4759A
6831Z,Agences immobilières,5,68,683,6831,6831Z
2893Z,Fabrication de machines pour l'industrie agro-alimentaire,5,28,289,2893,2893Z
4511Z,Commerce de voitures et de véhicules automobiles légers,5,45,451,4511,4511Z
6831Z,Agences immobilières,5,68,683,6831,6831Z
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
4322B,Travaux d'installation équipements thermiques et climatisation,5,43,432,4322,4322B
4399E,Location avec opérateur de matériel de construction,5,43,439,4399,4399E
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
4669B,Commerce de gros de fournitures et équipements industriels divers,5,46,466,4669,4669B
0000,Inconnu,4,0,0,0,NA
3212Z,Fabrication d’articles de joaillerie et bijouterie,5,32,321,3212,3212Z
5520Z,Hébergement touristique et autre hébergement de courte durée,5,55,552,5520,5520Z
4399C,Travaux de maçonnerie générale et gros oeuvre de bâtiment,5,43,439,4399,4399C
8610Z,Activités hospitalières,5,86,861,8610,8610Z
6910Z,Activités juridiques,5,69,691,6910,6910Z
4399C,Travaux de maçonnerie générale et gros oeuvre de bâtiment,5,43,439,4399,4399C
6920Z,Activités comptables,5,69,692,6920,6920Z
4669B,Commerce de gros de fournitures et équipements industriels divers,5,46,466,4669,4669B
4771Z,Commerce de détail d'habillement en magasin spécialisé,5,47,477,4771,4771Z
6420Z,Activités des sociétés holding,5,64,642,6420,6420Z
4941A,Transports routiers de fret interurbains,5,49,494,4941,4941A
7112B,"Ingénierie, études techniques",5,71,711,7112,7112B
4673B,Commerce de gros d'appareils sanitaires et produits de décoration,5,46,467,4673,4673B
5630Z,Débits de boissons,5,56,563,5630,5630Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
4730Z,Commerce de détail de carburants en magasin spécialisé,5,47,473,4730,4730Z
2363Z,Fabrication de béton prêt à l'emploi,5,23,236,2363,2363Z
4621Z,"Comm. de gros céréales, tabac non manuf. et aliments pour bétail",5,46,462,4621,4621Z
4711D,Supermarchés,5,47,471,4711,4711D
1812Z,Autre imprimerie (labeur),5,18,181,1812,1812Z
4531Z,Commerce de gros d'équipements automobiles,5,45,453,4531,4531Z
2573B,Fabrication d'autres outillages,5,25,257,2573,2573B
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
4211Z,Construction de routes et autoroutes,5,42,421,4211,4211Z
4777Z,Comm. détail d'articles horlogerie & bijouterie (magas. spéc.),5,47,477,4777,4777Z
6831Z,Agences immobilières,5,68,683,6831,6831Z
4532Z,Commerce de détail d'équipements automobiles,5,45,453,4532,4532Z
7112B,"Ingénierie, études techniques",5,71,711,7112,7112B
4511Z,Commerce de voitures et de véhicules automobiles légers,5,45,451,4511,4511Z
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
4752B,"Comm. détail de quincaillerie, peintures et verres (mag.> 400 m2)",5,47,475,4752,4752B
4669A,Commerce de gros de matériel électrique,5,46,466,4669,4669A
5210B,Entreposage et stockage non frigorifique,5,52,521,5210,5210B
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
6311Z,"Traitement de données, hébergement et activités connexes",5,63,631,6311,6311Z
4754Z,Commerce de détail appareils électroménagers (magasin spécialisé),5,47,475,4754,4754Z
6420Z,Activités des sociétés holding,5,64,642,6420,6420Z
4939A,Transports routiers réguliers de voyageurs,5,49,493,4939,4939A
4764Z,Commerce de détail d'articles de sport en magasin spécialisé,5,47,476,4764,4764Z
4531Z,Commerce de gros d'équipements automobiles,5,45,453,4531,4531Z
2015Z,Fabrication de produits azotés et d'engrais,5,20,201,2015,2015Z
4941A,Transports routiers de fret interurbains,5,49,494,4941,4941A
6420Z,Activités des sociétés holding,5,64,642,6420,6420Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
6832A,Administration d'immeubles et autres biens immobiliers,5,68,683,6832,6832A
3511Z,Production d'électricité,5,35,351,3511,3511Z
3511Z,Production d'électricité,5,35,351,3511,3511Z
4332B,Travaux de menuiserie métallique et serrurerie,5,43,433,4332,4332B
4511Z,Commerce de voitures et de véhicules automobiles légers,5,45,451,4511,4511Z
4711F,Hypermarchés,5,47,471,4711,4711F
7711A,Location de courte durée voitures & véhicules auto. légers,5,77,771,7711,7711A
9603Z,Services funéraires,5,96,960,9603,9603Z
4334Z,Travaux de peinture et vitrerie,5,43,433,4334,4334Z
6420Z,Activités des sociétés holding,5,64,642,6420,6420Z
4669B,Commerce de gros de fournitures et équipements industriels divers,5,46,466,4669,4669B
3320D,"Instal. éqpts électriq, mat. électro. et optiq. ou aut. matériels",5,33,332,3320,3320D
